,who,what,when,where,why,how,text
59,0,0,0,0,0,should initially be issued over downing street parties that breached,police recommend  fines should initially be issued over downing street parties that breached covid lockdown rules
60,0,0,0,0,eu signs us gas deal,on russian energy .,eu signs us gas deal to curb reliance on russian energy
61,drummer with us,rock group foo fighters,0,0,0,"dies aged , band announces .","drummer with us rock group foo fighters , taylor hawkins , dies aged  , band announces"
62,the wanted star tom parker,dies aged after being diagnosed with terminal brain cancer,0,0,0,the wanted star tom parker dies aged after being diagnosed,the wanted star tom parker dies aged  after being diagnosed with terminal brain cancer
63,actor,will smith resigns,0,0,slapping,"is long "" : actor will smith resigns from oscars",""" the list of those i have hurt is long "" : actor will smith resigns from oscars academy after slapping chris rock"
64,0,0,0,0,0,tory mp david warburton suspended from the parliamentary party pending,tory mp david warburton suspended from the parliamentary party pending investigation into allegations about conduct
65,this,is a very tragic situation,0,california,this,"very tragic situation "" : at least six people dead",""" this is a very tragic situation "" : at least six people dead after automatic gunfire in busy nightlife area of sacramento in california"
66,0,0,0,0,shell,0,shell to shut all petrol stations in russia and will stop all spot purchases of oil from the country
67,0,0,0,0,0,"besieged ukrainian city of mariupol failed , as reports say","second attempt to evacuate people trapped in besieged ukrainian city of mariupol failed , as reports say ceasefire broken again"
68,its,“ can not ignore the needless human suffering ”,0,russia,0,"will temporarily close all its restaurants in russia , saying","mcdonald ’ s will temporarily close all its restaurants in russia , saying it “ cannot ignore the needless human suffering unfolding in ukraine ”"
69,two million people,have now fled ukraine,0,0,0,"into neighbouring countries , un tells bbc live updates here","two million people have now fled ukraine into neighbouring countries , un tells  bbc  live updates here "
70,russian strikes,hit maternity and children ',0,0,0,russian strikes hit maternity and children ' s hospital in,"russian strikes hit maternity and children ' s hospital in ukrainian city of mariupol , officials say"
71,0,0,0,0,0,given genetically modified pig heart in world - first surgery,"man given genetically modified pig heart in world - first surgery dies two months after operation , us hospital says"
72,us,bans russian oil imports,0,0,us,bans russian oil imports as part of international moves against,us bans russian oil imports as part of international moves against energy sector to punish moscow for invading ukraine
73,twitter ' s board,agrees to takeover,0,0,0,the social media giant ' s potential .,"twitter ' s board agrees to  takeover by elon musk , who has promised to "" unlock "" the social media giant ' s potential"
74,0,0,0,0,0,all russian oil imports in major new sanctions package over,eu unveils plan to ban all russian oil imports in major new sanctions package over moscow ' s war in ukraine follow latest here
75,0,0,0,0,ketanji brown jackson,ketanji brown jackson to become first black female justice in,ketanji brown jackson to become first black female justice in the  - year history of us supreme court after senate confirmation
76,0,0,0,0,russia,from un human rights council .,russia suspended from un human rights council
77,mi5 agent,alleged to have exploited his status can not be named by the bbc,0,0,0,", high court rules .","mi5 agent alleged to have exploited his status to abuse a partner cannot be named by the  bbc  , high court rules"
78,0,0,the very day,0,0,a huge asteroid collided with the earth .,scientists may have found the first fossil remains of a dinosaur that died on the very day a huge asteroid collided with the earth
79,0,0,0,0,0,ed sheeran wins high court copyright battle over hit shape,ed sheeran wins high court copyright battle over  hit shape of you
80,tesla boss elon musk,buys percent stake,0,0,0,twitter worth almost .,tesla boss elon musk buys  percent stake in twitter worth almost
81,lam,held on as hong kong through mass protests,0,0,she,hong kong,"she held on as hong kong ' s leader through mass protests . now , carrie lam says she will not seek a second term in power"
82,0,0,0,0,it,"the abundant renewable energy "" un secretary general antonio guterres",""" it ' s time to stop burning our planet and start investing in the abundant renewable energy "" un secretary general antonio guterres says "" leaders must lead "" but also urges people to "" demand that renewable energy is introduced now at speed and at scale """
83,we,can do it,0,0,un,"or never "" to avoid disastrous climate change - but","un says it ' s "" now or never "" to avoid disastrous climate change - but we can do it if we make drastic changes to how we live"
84,0,0,june,0,0,legendary eastenders actress june brown .,obituary : legendary eastenders actress june brown
85,0,0,june,0,0,"june brown , who played dot cotton on bbc soap","june brown , who played dot cotton on  bbc  soap eastenders for more than  years , dies aged"
86,ukraine,accuses russia of genocide,0,0,ukraine,ukraine accuses russia of genocide,"bbc  witnesses more evidence of atrocities against civilians near kyiv , as ukraine accuses russia of genocide"
87,russian warship moskva,has sunk,0,0,it,"russian warship moskva has sunk , state media says ,","russian warship moskva has sunk , state media says , a day after it was reported damaged by fire or a ukrainian missile strike"
88,0,0,0,0,0,"for russian oil , ukraine ' s president zelensky tells","blood money being paid for russian oil , ukraine ' s president zelensky tells  bbc"
89,pm boris johnson,announces,0,0,some uk asylum seekers,miles away to rwanda and military to take control of,"some uk asylum seekers to be sent  miles away to rwanda and military to take control of patrolling channel , pm boris johnson announces"
90,0,0,0,0,0,at new york city subway station .,police arrest man suspected of shooting  commuters in rush hour attack at new york city subway station
91,0,0,0,0,0,is fanatic ali harbi ali given whole - life jail,is fanatic ali harbi ali given whole - life jail sentence for murdering  uk mp  sir david amess
92,uk prime minister boris johnson and chancellor rishi sunak,will be fined over downing street lockdown parties,0,0,0,uk prime minister boris johnson and chancellor rishi sunak will,uk prime minister boris johnson and chancellor rishi sunak will be fined over downing street lockdown parties
93,0,0,0,0,0,following sexual misconduct claims .,dj tim westwood steps down from capital xtra show following sexual misconduct claims
94,emmanuel macron,"set for clear victory , beating far right candidate marine , projections",0,0,emmanuel macron,"for clear victory in france ’ s presidential election ,","emmanuel macron set for clear victory in france ’ s presidential election , beating far right candidate marine le pen , projections show"
95,0,0,0,0,0,"of pandemic were "" unlawful "" , high court judges","government policies of discharging patients from hospital to care homes in england at start of pandemic were "" unlawful "" , high court judges rule"
96,he,s resigning as an mp after admitting he,0,0,he,pornography twice in the house of commons .,neil parish says he ' s resigning as an mp after admitting he watched pornography twice in the house of commons
97,0,0,0,0,0,"conservative mp neil parish , who is being investigated for","conservative mp neil parish , who is being investigated for allegedly watching pornography in the house of commons , expected to resign -  bbc  told"
98,0,0,0,0,islamic state militant alexanda kotey,british - born islamic state militant alexanda kotey sentenced to,british - born islamic state militant alexanda kotey sentenced to life over murders of american hostages in syria
99,0,0,0,0,0,former wimbledon champion boris becker jailed for two and half,former wimbledon champion boris becker jailed for two and half years for hiding assets to avoid paying debts
