,who,what,when,where,why,how,text
47,0,0,0,UK,UK,Russian state-backed news channel RT 's licence to broadcast in,"Russian state-backed news channel RT's licence to broadcast in UK revoked ""with immediate effect"", regulator Ofcom says"
48,"Legendary Australian leg-spinner Shane Warne , one of the greatest cricketers of all time ,",dies of suspected heart attack aged 52,0,0,0,"Legendary Australian leg-spinner Shane Warne , one of the greatest","Legendary Australian leg-spinner Shane Warne, one of the greatest cricketers of all time, dies of suspected heart attack aged 52"
49,Vladimir Putin,insists Ukraine invasion,0,Ukraine,Vladimir Putin,as humanitarian crisis grows in cities under Russian bombardment .,"Vladimir Putin insists Ukraine invasion ""going to plan"" as humanitarian crisis grows in cities under Russian bombardment"
50,hundreds of civilians,were sheltering,0,Russia,0,in Ukrainian city of Mariupol where hundreds of civilians were,"Russia bombs theatre in Ukrainian city of Mariupol where hundreds of civilians were sheltering, deputy mayor says"
51,London 's Metropolitan Police,breached the rights,0,London,0,"Sarah Everard , judges rule","London's Metropolitan Police breached the rights of organisers of planned vigil for Sarah Everard, judges rule"
52,Will Smith,was asked to leave Oscars ceremony but refused,0,0,0,"hitting Chris Rock but refused ,","Will Smith was asked to leave Oscars ceremony after hitting Chris Rock but refused, Academy says"
53,0,0,0,Ukraine,0,"very promising "" in peace talks with Ukraine so far","""Nothing very promising"" in peace talks with Ukraine so far, Russian President Putin's spokesman says

Follow live updates here"
54,Will Smith,apologises after slapping Chris Rock,0,0,Will Smith,was unacceptable and inexcusable ” - Will Smith apologises after,“My behaviour was unacceptable and inexcusable” - Will Smith apologises after slapping Chris Rock at the Oscars
55,Rock,has launched formal review,0,0,it,launched formal review of incident .,"The Oscars film academy ""condemns"" Will Smith's slapping of Chris Rock and says it has launched formal review of incident"
56,Russian billionaire Roman Abramovich,suffered symptoms of suspected poisoning,earlier this month,0,0,Russian billionaire Roman Abramovich suffered symptoms of suspected poisoning at,"Russian billionaire Roman Abramovich suffered symptoms of suspected poisoning at peace talks in Kyiv earlier this month, spokesperson says"
57,More than 200 babies in England,might have survived if they,0,England,they,"given better maternity care by NHS Trust , BBC learns","More than 200 babies in England might have survived if they had been given better maternity care by NHS Trust, BBC learns"
58,Russia,"will "" drastically reduce "" assault",0,Russia,it,""" drastically reduce "" assault on Ukraine 's capital Kyiv","Russia says it will ""drastically reduce"" assault on Ukraine's capital Kyiv, where its advance is stalled"
59,Police,recommend 20 fines should initially be issued over Downing Street parties,0,0,0,should initially be issued over Downing Street parties that breached,Police recommend 20 fines should initially be issued over Downing Street parties that breached Covid lockdown rules
60,EU signs US gas deal,to curb reliance,0,0,EU signs US gas deal,on Russian energy .,EU signs US gas deal to curb reliance on Russian energy
61,"Drummer with US rock group Foo Fighters , Taylor Hawkins ,",dies aged 50,0,US,0,"dies aged 50 , band announces .","Drummer with US rock group Foo Fighters, Taylor Hawkins, dies aged 50, band announces"
62,The Wanted star Tom Parker,dies aged 33,0,0,0,dies aged 33 after being diagnosed with terminal brain cancer,The Wanted star Tom Parker dies aged 33 after being diagnosed with terminal brain cancer
63,"long "" : Actor Will Smith",resigns from Oscars Academy after slapping Chris Rock,0,0,"long "" : Actor Will Smith","is long "" : Actor Will Smith resigns from Oscars","""The list of those I have hurt is long"": Actor Will Smith resigns from Oscars Academy after slapping Chris Rock"
64,Tory MP David Warburton,suspended from the parliamentary party pending investigation,0,0,0,the parliamentary party pending investigation into allegations about conduct .,Tory MP David Warburton suspended from the parliamentary party pending investigation into allegations about conduct
65,This,is a very tragic situation,0,Sacramento in California,This,"very tragic situation "" : At least six people dead","""This is a very tragic situation"": At least six people dead after automatic gunfire in busy nightlife area of Sacramento in California"
66,Shell,to shut all petrol stations and will stop all spot purchases,0,Russia,Shell,0,Shell to shut all petrol stations in Russia and will stop all spot purchases of oil from the country
67,0,0,0,0,0,"besieged Ukrainian city of Mariupol failed , as reports say","Second attempt to evacuate people trapped in besieged Ukrainian city of Mariupol failed, as reports say ceasefire broken again"
68,McDonald,“ can not ignore the needless human suffering ”,0,Russia,0,"will temporarily close all its restaurants in Russia , saying","McDonald’s will temporarily close all its restaurants in Russia, saying it “cannot ignore the needless human suffering unfolding in Ukraine”"
69,UN,tells BBC Live updates,0,Ukraine,0,"into neighbouring countries , UN tells BBC Live updates here","Two million people have now fled Ukraine into neighbouring countries, UN tells BBC

 Live updates here"
70,Russian strikes,hit maternity and children 's,0,Mariupol,0,Russian strikes hit maternity and children 's hospital in Ukrainian,"Russian strikes hit maternity and children's hospital in Ukrainian city of Mariupol, officials say"
71,0,0,0,US,0,given genetically modified pig heart in world-first surgery dies two,"Man given genetically modified pig heart in world-first surgery dies two months after operation, US hospital says"
72,US,bans Russian oil imports,0,US,US,bans Russian oil imports as part of international moves against,US bans Russian oil imports as part of international moves against energy sector to punish Moscow for invading Ukraine
73,Twitter 's board,agrees to $ 44bn by Elon Musk,0,0,Twitter 's board,the social media giant 's potential .,"Twitter's board agrees to $44bn takeover by Elon Musk, who has promised to ""unlock"" the social media giant's potential"
74,EU,unveils plan to ban all Russian oil imports,0,Moscow,0,all Russian oil imports in major new sanctions package over,"EU unveils plan to ban all Russian oil imports in major new sanctions package over Moscow's war in Ukraine

Follow latest here"
75,Ketanji Brown Jackson,to become first black female justice,0,0,0,first black female justice in the 233-year history of US,Ketanji Brown Jackson to become first black female justice in the 233-year history of US Supreme Court after Senate confirmation
76,Russia,suspended from UN Human Rights Council,0,Russia,Russia,0,Russia suspended from UN Human Rights Council
77,MI5 agent,alleged to have exploited his status can not be named by the BBC,0,0,MI5 agent,0,"MI5 agent alleged to have exploited his status to abuse a partner cannot be named by the BBC, High Court rules"
78,0,0,the very day,Earth,0,a huge asteroid collided with the Earth .,Scientists may have found the first fossil remains of a dinosaur that died on the very day a huge asteroid collided with the Earth
79,Ed Sheeran,wins High Court copyright battle,0,0,Ed Sheeran,0,Ed Sheeran wins High Court copyright battle over 2017 hit Shape of You
80,Tesla boss Elon Musk,buys 9.2 Percent stake,0,0,0,Twitter worth almost $ 3bn .,Tesla boss Elon Musk buys 9.2 Percent stake in Twitter worth almost $3bn
81,Lam,held on as Hong Kong 's through mass protests,0,Hong Kong,She,Hong Kong 's leader through mass protests,"She held on as Hong Kong's leader through mass protests. Now, Carrie Lam says she won't seek a second term in power"
82,0,0,0,0,It,"the abundant renewable energy "" UN Secretary General Antonio Guterres","""It's time to stop burning our planet and start investing in the abundant renewable energy""

UN Secretary General Antonio Guterres says ""leaders must lead"" but also urges people to ""demand that renewable energy is introduced now at speed and at scale"""
83,UN,"'s "" now or never "" to avoid disastrous climate change",0,0,it,"or never "" to avoid disastrous climate change - but","UN says it's ""now or never"" to avoid disastrous climate change - but we can do it if we make drastic changes to how we live"
84,0,0,June,0,0,Legendary EastEnders actress June Brown .,Obituary: Legendary EastEnders actress June Brown
85,0,0,June,0,0,dies aged 95 .,"June Brown, who played Dot Cotton on BBC soap EastEnders for more than 30 years, dies aged 95"
86,Ukraine,accuses Russia of genocide,0,0,Ukraine,Ukraine accuses Russia of genocide,"BBC witnesses more evidence of atrocities against civilians near Kyiv, as Ukraine accuses Russia of genocide"
87,Russian warship Moskva,"has sunk , state media says , a day",0,0,it,"Russian warship Moskva has sunk , state media says ,","Russian warship Moskva has sunk, state media says, a day after it was reported damaged by fire or a Ukrainian missile strike"
88,Ukraine 's President Zelensky,tells BBC,0,Ukraine,0,"for Russian oil , Ukraine 's President Zelensky tells BBC","Blood money being paid for Russian oil, Ukraine's President Zelensky tells BBC"
89,0,0,0,Rwanda,0,miles away to Rwanda and military to take control of,"Some UK asylum seekers to be sent 4,000 miles away to Rwanda and military to take control of patrolling Channel, PM Boris Johnson announces"
90,0,0,0,New York City,0,0,Police arrest man suspected of shooting 10 commuters in rush hour attack at New York City subway station
91,0,0,0,UK,0,IS fanatic Ali Harbi Ali given whole-life jail sentence for,IS fanatic Ali Harbi Ali given whole-life jail sentence for murdering UK MP Sir David Amess
92,UK Prime Minister Boris Johnson and Chancellor Rishi Sunak,will be fined over Downing Street lockdown parties,0,UK,0,0,UK Prime Minister Boris Johnson and Chancellor Rishi Sunak will be fined over Downing Street lockdown parties
93,DJ Tim Westwood,steps down from Capital Xtra show following sexual misconduct claims,0,0,DJ Tim Westwood,following sexual misconduct claims .,DJ Tim Westwood steps down from Capital Xtra show following sexual misconduct claims
94,Emmanuel Macron,"set for clear victory , beating far right candidate Marine Le Pen , projections",0,France,Emmanuel Macron,"for clear victory in France ’s presidential election , beating","Emmanuel Macron set for clear victory in France’s presidential election, beating far right candidate Marine Le Pen, projections show"
95,0,0,0,England,0,"of pandemic were "" unlawful "" , High Court judges","Government policies of discharging patients from hospital to care homes in England at start of pandemic were ""unlawful"", High Court judges rule"
96,Parish,'s resigning as an MP after admitting he,0,0,he,pornography twice in the House of Commons .,Neil Parish says he's resigning as an MP after admitting he watched pornography twice in the House of Commons
97,BBC,told,0,0,0,"Conservative MP Neil Parish , who is being investigated for","Conservative MP Neil Parish, who is being investigated for allegedly watching pornography in the House of Commons, expected to resign - BBC told"
98,British-born Islamic State militant Alexanda Kotey,sentenced to life over murders,0,Syria,British-born Islamic State militant Alexanda Kotey,British-born Islamic State militant Alexanda Kotey sentenced to life over,British-born Islamic State militant Alexanda Kotey sentenced to life over murders of American hostages in Syria
99,Former Wimbledon champion Boris Becker,jailed for two and half years for hiding assets,0,0,0,Former Wimbledon champion Boris Becker jailed for two and half,Former Wimbledon champion Boris Becker jailed for two and half years for hiding assets to avoid paying debts
