,who,what,where,when,why,how,text
22,convicts rapists in South Africa,.,0,0,0,0,The rape survivor who convicts rapists in South Africa
23,0,0,0,0,0,0,Evergrande $2.6bn property unit deal collapses
24,British Fox News journalist,injured reporting on war,0,0,0,British Fox News journalist injured reporting on war in Ukraine,British Fox News journalist injured reporting on war in Ukraine
25,Ukraine invasion,:,0,0,China,0,Ukraine invasion: Can China do more to stop Russias war in Ukraine?
26,The families,displaced five years,0,0,0,0,Colombia peace deal: The families displaced five years on
27,winter,looms,0,0,0,0,"As winter looms, reports of starvation in North Korea"
28,Virginia traffic,for over 10 hours,0,0,0,over,Snowbound in Virginia traffic for over 10 hours
29,a ban on default passwords in new UK law,.,0,0,0,Huge fines and a ban on default passwords in new,Huge fines and a ban on default passwords in new UK law
30,0,0,0,0,0,The German towns in Paraguay with a surge in European,The German towns in Paraguay with a surge in European immigrants
31,Delhis foul air,is rooted in Indias water crisis,0,0,0,Delhis foul air is rooted in Indias water crisis .,Delhis foul air is rooted in Indias water crisis
32,Top US college football coach Nick Rolovich,fired for refusing to be vaccinated against Covid,0,0,0,Top US college football coach Nick Rolovich fired for refusing,Top US college football coach Nick Rolovich fired for refusing to be vaccinated against Covid
33,Donald Trump,raised $ 1bn,0,0,0,a social media app called ... ?,Timed Teaser: Donald Trump raised $1bn for a social media app called...?
34,US economy contracts as Ukraine war,hits trade,0,0,US economy contracts as Ukraine war,Ukraine war hits trade,US economy contracts as Ukraine war hits trade
35,CIA officer,suffered from Havana syndrome during India trip,Havana,0,0,0,CIA officer suffered from Havana syndrome during India trip
36,Tonga,records first Covid case,0,0,0,start of pandemic,Tonga records first Covid case since start of pandemic
37,All 39 trapped Canadian miners,rescued after three days,0,0,0,trapped Canadian miners rescued after three days .,All 39 trapped Canadian miners rescued after three days
38,Scientists David Julius and Ardem Patapoutian share 2021,Nobel prize,0,0,0,Medicine or Physiology for work on sensing touch and temperature,Scientists David Julius and Ardem Patapoutian share 2021 Nobel prize for Medicine or Physiology for work on sensing touch and temperature
39,0,0,0,0,0,Ukrainian President Zelensky says 130 people rescued from basement of,"Ukrainian President Zelensky says 130 people rescued from basement of bombed Mariupol theatre, but 1,300 remain trapped

Latest"
40,Arizona officer,fired after fatally shooting man,0,0,0,after fatally shooting man in wheelchair .,Arizona officer fired after fatally shooting man in wheelchair
41,The surrender of Indias bandit king,.,0,0,0,0,Malkhan Singh: The surrender of Indias bandit king
42,0,0,0,0,0,The Nigerian singer who hated his own voice .,The Nigerian singer who hated his own voice
43,Taiwan tower block blaze,.,0,0,0,0,Firefighters battle Taiwan tower block blaze
44,I,"do n’t want to live , my mental health ’s",0,0,0,"do n’t want to live , my mental health ’s","I don’t want to live, my mental health’s that bad"
45,Ghana star,arrested over death threat claim,0,0,Ghana star,0,Ghana star arrested over death threat claim
46,William and Kate,joined by stars,0,0,William and Kate,awards ceremony,Earthshot Prize: William and Kate joined by stars for awards ceremony
47,Denmark,guilty of double standards,0,0,0,Denmark guilty of double standards on refugees ?,Is Denmark guilty of double standards on refugees?
48,Russia,invades,0,0,0,of new iron curtain as Russia invades .,Ukraines president warns of new iron curtain as Russia invades
49,Republic of Irelands,plan for alcohol minimum pricing,0,0,Republic of Irelands,alcohol minimum pricing comes into effect,Republic of Irelands plan for alcohol minimum pricing comes into effect
50,New World Health Organization group,may be last chance to find Covid origins,0,0,New World Health Organization group,be last chance to find Covid origins .,New World Health Organization group may be last chance to find Covid origins
51,0,0,0,0,0,claim hairy black holes explain Hawking paradox .,Scientists claim hairy black holes explain Hawking paradox
52,0,0,0,0,0,spot false posts from Ukraine .,How to spot false posts from Ukraine
53,UN,halts food aid,0,0,0,warehouses looted,Ethiopia: UN halts food aid in two towns after warehouses looted
54,Meghan,to receive £ 1,0,0,Meghan,privacy case,Meghan to receive £1 in damages after privacy case
55,0,0,0,0,0,0,United Airlines to fire staff who refuse vaccine
56,Emily Ratajkowski,alleges Robin Thicke,0,0,Emily Ratajkowski,0,Emily Ratajkowski alleges Robin Thicke groped her on Blurred Lines set
57,Alisher Usmanov,and,0,0,0,0,UK sanctions oligarchs Alisher Usmanov and Igor Shuvalov
58,0,0,0,0,0,Irish unity referendum would not be needed in Republic of,Irish unity referendum would not be needed in Republic of Ireland
59,Refugees from Ukraine arriving at Polish border,speak to BBC,0,0,0,at Polish border speak to BBC .,Refugees from Ukraine arriving at Polish border speak to BBC
60,0,0,0,0,0,The misleading claims about Frances election .,The misleading claims about Frances election
61,challenges of vaccinating Amazon,.,0,0,0,Viral photo highlights challenges of vaccinating Amazon .,Covid: Viral photo highlights challenges of vaccinating Amazon
62,Collins,can barely hold a drumstick,0,0,0,can barely hold a drumstick .,Phil Collins: I can barely hold a drumstick
63,Paedophile Jeffrey Epstein and Ghislaine Maxwell,pictured at Queens residence at Balmoral,0,0,0,0,Paedophile Jeffrey Epstein and Ghislaine Maxwell pictured at Queens residence at Balmoral
64,Mother,begged of life,0,0,Mother,0,"Mother begged of life of IS hostage, court hears"
65,0,0,0,0,0,0,Cryptocurrency expert admits aiding North Korea
66,0,0,0,0,0,0,Everything you need to know about International Womens Day 2022
67,Sir David Attenborough,tells leaders,0,0,0,0,Sir David Attenborough tells leaders the world is looking to you
68,Game company Activision Blizzard,settles $ 18m,0,0,0,0,Game company Activision Blizzard settles $18m workplace discrimination case
69,William and Kate,arrive in Belize for jubilee Caribbean tour,0,0,William and Kate,jubilee Caribbean tour,William and Kate arrive in Belize for jubilee Caribbean tour
70,UN warning,over nations climate plans,0,0,0,0,UN warning over nations climate plans
71,Mary Lou McDonald to address ard fheis in Dublin,.,0,0,0,0,Sinn Féin: Mary Lou McDonald to address ard fheis in Dublin
72,0,0,0,0,0,0,What can you do to reduce your carbon footprint?
73,Prince William,suggests entrepreneurs,0,0,entrepreneurs,Earth rather than space tourism .,Prince William suggests entrepreneurs should focus on saving Earth rather than space tourism
74,UK PM Boris Johnson and Ukrainian President Volodymyr Zelensky,walk through Kyivs together,0,0,0,and Ukrainian President Volodymyr Zelensky walk through Kyivs near -,UK PM Boris Johnson and Ukrainian President Volodymyr Zelensky walk through Kyivs near-empty streets together
75,War in Ukraine,:,0,0,0,0,War in Ukraine: Ukrainians deported to Russia beaten and mistreated
76,Brazil - Argentina World Cup qualifier,halted after confusion over Covid regulations,0,0,0,confusion over Covid regulations,Brazil-Argentina World Cup qualifier halted after confusion over Covid regulations
77,Clinton aide details sex assault by US senator,.,0,0,0,0,Huma Abedin: Clinton aide details sex assault by US senator
78,0,0,0,0,0,children,US doctor urges vaccine priority for children
79,UK,relaxes travel restrictions,0,0,UK,for fully vaccinated Indians .,UK relaxes travel restrictions for fully vaccinated Indians
80,the US,crack down on cryptocurrency,0,0,0,0,Will the US crack down on cryptocurrency?
81,James Franco accusers,call him,0,0,James Franco accusers,him completely insensitive after interview .,James Franco accusers call him completely insensitive after interview
82,0,0,0,0,0,0,Rogel Aguilera-Mederos: Colorado lorry drivers sentence sparks uproar
83,Cubas,deteriorate,0,0,gay hotel,first gay hotel reopens as human rights deteriorate .,Cubas first gay hotel reopens as human rights deteriorate
84,0,0,0,0,0,0,Are millions of Covid vaccine doses at risk of going to waste?
85,Haiti kidnap,:,0,0,0,US missionary kidnap .,Haiti kidnap: 400 Mawozo accused of US missionary kidnap
86,0,0,0,0,0,New project aims to help migrants crossing border into Poland,New project aims to help migrants crossing border into Poland
87,At least 21 babies born through surrogacy,are waiting for their biological parents in a bomb shelter nursery,0,0,0,At least 21 babies born through surrogacy are waiting for,At least 21 babies born through surrogacy are waiting for their biological parents in a bomb shelter nursery in Kyiv
88,a Mississippi challenge,could upend US abortion rights,0,0,0,0,How a Mississippi challenge could upend US abortion rights
89,Family,rescued after being stranded for four days,0,0,0,in Australian outback .,Family rescued after being stranded for four days in Australian outback
90,We,know what we,Crimea,0,We,do next .,"We know what we have to do next. Well definitely carry out all the plans we have made

President Vladimir Putin addresses tens of thousands of Russians filling Moscows Luzhniki Stadium, to celebrate eight years since the annexation of Crimea"
91,I,was hugging her,0,0,I,This Ukrainian family were separated by war and have now,"When I was hugging her I said I’m not going to say goodbye 

This Ukrainian family were separated by war and have now been reunited – here is their story"
92,The Canadian town that burned down in a day,.,0,0,0,The Canadian town that burned down in a day .,Life at 50C: The Canadian town that burned down in a day
93,our,is worth defending,0,0,0,is worth defending .,"Every day acts by Ukrainians inspire us all 

President of EU Parliament Roberta Metsola thanks Ukrainian President Zelensky, adding  our way of life is worth defending"
94,UK sending weapons to defend Ukraine,",",0,0,UK,0,"UK sending weapons to defend Ukraine, says defence secretary"
95,India ’s,epic 1983,0,0,0,’s epic 1983 cricket triumph .,Reliving India’s epic 1983 cricket triumph
96,International Tennis Federation,does not want to punish a billion people,International Tennis Federation,0,0,0,International Tennis Federation does not want to punish a billion people by suspending China tournaments
97,0,0,0,0,Annalena Baerbock,numbers fantastic for Green Party in Germanys election .,Annalena Baerbock says numbers fantastic for Green Party in Germanys election
98,"Putins ultranationalist ally and clown , Vladimir Zhirinovsky ,",dies at 75,0,0,0,"Putins ultranationalist ally and clown , Vladimir Zhirinovsky , dies","Putins ultranationalist ally and clown, Vladimir Zhirinovsky, dies at 75"
99,woman,alive,0,0,0,culture alive .,The Uyghur woman fighting to keep her culture alive
100,guns,dangerous,0,0,0,they dangerous ?,What are prop guns and why are they dangerous?
101,0,0,0,0,0,Kashmirs separatist patriarch dies aged 92 .,Syed Ali Geelani: Kashmirs separatist patriarch dies aged 92
102,$ 50bn wiped off Netflix ’s value as subscribers,quit,0,0,0,subscribers quit,$50bn wiped off Netflix’s value as subscribers quit
103,0,0,0,0,0,"English - speaking audiences , TikTok user says","Squid Games botched subtitles have changed the shows meaning for English-speaking audiences, TikTok user says"
104,0,0,0,0,0,after Indian army ’s botched ambush .,Anger grows after Indian army’s botched ambush
105,US actor and comedian Bob Saget,dies aged 65,0,0,0,dies aged 65 .,US actor and comedian Bob Saget dies aged 65
106,Amnesty,to close Hong Kong offices,0,0,0,0,Amnesty to close Hong Kong offices over National Security Law
107,Statue of Russian and Ukrainian friendship,destroyed,0,0,0,of Russian and Ukrainian friendship destroyed .,Statue of Russian and Ukrainian friendship destroyed
108,0,0,0,0,0,"Small plane crashes in Haitian capital , Port - au","Small plane crashes in Haitian capital, Port-au-Prince, killing at least six people"
109,My,was killed,0,0,My neighbours,start clean up after air strike hit their homes .,"My daughter was killed. My neighbours were killed

Residents in Zhytomyr, Ukraine, start clean up after air strike hit their homes"
110,0,0,0,0,0,amid global chip shortage .,US says firms stocks have plunged amid global chip shortage
111,Nazi haul,discovered by Brazil police at home,0,0,0,Nazi haul discovered by Brazil police at home of suspected,Nazi haul discovered by Brazil police at home of suspected child abuser
112,0,0,0,0,0,voters back same - sex marriage in Switzerland referendum .,Two-thirds of voters back same-sex marriage in Switzerland referendum
113,0,0,0,0,Oxygen stocks,running dangerously low in Ukraine .,Oxygen stocks running dangerously low in Ukraine
114,Taliban orders,TikTok and PUBG,0,0,0,misleading youths,Taliban orders TikTok and PUBG ban in Afghanistan for misleading youths
115,"Bomb attack on mosque during Friday prayers in Kunduz , Afghanistan ,",kills at least 36 people and injures more than 40,Kunduz,Friday,0,"at least 36 people and injures more than 40 ,","Bomb attack on mosque during Friday prayers in Kunduz, Afghanistan, kills at least 36 people and injures more than 40, officials say"
116,0,0,0,0,Briton,"confirmed dead and one injured in Thailand , amid attack","Briton confirmed dead and one injured in Thailand, amid attack reports"
117,Organisers,takes in Canadas capital,Canadas,0,0,of anti-vax mandate trucker convoy pledge to stay as long,Organisers of anti-vax mandate trucker convoy pledge to stay as long as it takes in Canadas capital
118,Lebanon election results,raise spectre of new power struggle,0,0,Lebanon election results,of new power struggle .,Lebanon election results raise spectre of new power struggle
119,0,0,0,0,Russians,0,How do Russians get news about the war in Ukraine?
120,0,0,0,0,0,Austrian parliament approves mandatory Covid vaccination order .,Austrian parliament approves mandatory Covid vaccination order
121,7 things to know ahead of the ceremony,.,0,0,0,know ahead of the ceremony .,Emmy Awards 2021: 7 things to know ahead of the ceremony
122,0,0,0,last day,0,", new prime minister says .","Sri Lanka down to last day of petrol, new prime minister says"
123,The Paralympic dream,that started at the supermarket,0,0,0,The Paralympic dream that started at the supermarket .,The Paralympic dream that started at the supermarket
124,Mysterious giant stone jars,found in India,0,0,0,Mysterious giant stone jars found in India .,Mysterious giant stone jars found in India
125,0,0,0,0,0,Italian fashion great Nino Cerruti dies aged 91 .,Italian fashion great Nino Cerruti dies aged 91
126,Magdalena Andersson,became Swedens,0,0,Magdalena Andersson,first female PM twice .,How Magdalena Andersson became Swedens first female PM twice
127,Missiles strike oil depot in Belgorod,",",0,0,0,0,"Missiles strike oil depot in Belgorod, Russia"
128,Protesters set Old Parliament House in Canberra on fire,.,0,0,Protesters,0,Australia: Protesters set Old Parliament House in Canberra on fire
129,What Jewish life in Europe,was like before World War Two,Europe,0,0,What Jewish life in Europe was like before World War,What Jewish life in Europe was like before World War Two
130,School pupils in England,to wear face masks,0,0,0,0,School pupils in England to wear face masks in classrooms to tackle Omicron
131,Signs of first planet,found outside our galaxy,0,0,0,0,Signs of first planet found outside our galaxy
132,EasyJet,cancels 100 flights,0,0,EasyJet,0,EasyJet cancels 100 flights due to Covid absences
133,UN chief,appalled at Al Jazeera reporters,0,0,0,0,UN chief appalled at Al Jazeera reporters killing
134,0,0,0,0,0,most beautiful mosquito ?,Wildlife photo: Is this the worlds most beautiful mosquito?
135,President Putin,calls for a minutes silence,0,Today,I,"our armed forces and our Donbas fighters , you ’re","Today I want to address our armed forces and our Donbas fighters, you’re fighting for the victory of your land 

President Putin calls for a minutes silence for Russians killed in WWII and soldiers fighting for Russia in eastern Ukraine"
136,0,0,0,0,0,0,A nation in decline - how the world saw the Capitol riot
137,0,0,0,0,because of Covid .,"of Brazilian city of Rio de Janeiro , as Carnival","Music and dancing fills streets of Brazilian city of Rio de Janeiro, as Carnival returns after break because of Covid"
138,Nasa,unveils new class,0,0,0,unveils new class of astronaut candidates .,Nasa unveils new class of astronaut candidates
139,Canada party flight idiots,fly home to face music,0,0,0,fly home to face music .,Canada party flight idiots fly home to face music
140,Jersey firms freeze £ 259m of Russia,linked assets,0,0,0,0,Jersey firms freeze £259m of Russia linked assets
141,South Africa floods,kill more than 250 people,0,0,South Africa floods,of worst storms in countrys history .,South Africa floods kill more than 250 people in one of worst storms in countrys history
142,0,0,0,0,0,a household item every day in,The woman dressing as a household item every day in January
143,0,0,0,0,0,", local reports say .","More than 100 people trapped on roof of a building in Hong Kong after a fire broke out, local reports say"
144,China streaming site,accused of copying Squid Game,0,0,China streaming site,0,Squid Victory? China streaming site accused of copying Squid Game
145,West,is supporting Ukraine,0,0,it,As long as the West … continues buying Russian gas,"As long as the West… continues buying Russian gas and oil, it is supporting Ukraine with one hand, while supporting Russias war machine with another, Ukraines Foreign Minister Dmytro Kuleba says"
146,Russian President Vladimir Putin,has changed since they,0,20 years ago,0,a completely different person Former Russian Prime Minister Mikhail Kasyanov,"Its a completely different person

Former Russian Prime Minister Mikhail Kasyanov says Russian President Vladimir Putin has changed since they worked together 20 years ago"
147,0,0,0,0,0,Secret audio sheds light on toppled Tunisian dictator ’s frantic,Secret audio sheds light on toppled Tunisian dictator’s frantic last hours
148,0,0,0,0,0,0,Why are hundreds of aid trucks stuck in Ethiopia?
149,Singapore migrant workers,are still living in Covid lockdown,0,0,Singapore migrant workers,Singapore migrant workers are still living in Covid lockdown .,Singapore migrant workers are still living in Covid lockdown
150,Greta Thunberg,mocks world leaders words,0,0,Greta Thunberg,0,Greta Thunberg mocks world leaders words at Youth4Climate
151,0,0,0,0,0,sparked deadly violence in Kazakhstan ?,Who sparked deadly violence in Kazakhstan?
152,the war,in Ukraine,0,0,0,How many people are trying to escape the war in,How many people are trying to escape the war in Ukraine and where might they go?
153,At least 70 Ukraine soldiers,killed in Russian artillery strike on Sunday,0,Sunday,At least 70 Ukraine soldiers,At least 70 Ukraine soldiers killed in Russian artillery strike,"At least 70 Ukraine soldiers killed in Russian artillery strike in Okhtyrka on Sunday, Ukrainian officials confirm"
154,A Kremlin adviser,resigns and Ukrainian territory,0,0,0,and Ukrainian territory regained - Ukraines latest war round -,A Kremlin adviser resigns and Ukrainian territory regained - Ukraines latest war round-up
155,0,0,0,0,0,"Use Russian money to rebuild Ukraine , says bank chief","Use Russian money to rebuild Ukraine, says bank chief"
156,ruler,spent more than £ 70m,0,0,he,Jordan secretly spent more than £ 70m ( $ 100m,"The King of Jordan secretly spent more than £70m ($100m) on a property empire in the UK and US

Leaked documents from the Pandora Papers reveal a network of offshore companies owned by the ruler since he came to power"
157,0,0,0,0,0,0,Mental health helpline ends AI data-sharing relationship
158,Judas,in court,Capitol,0,0,0,Actor who played Judas in court over Capitol riot
159,Japan,finds black particles,Moderna,0,0,finds black particles in Moderna vaccine .,Japan finds black particles in Moderna vaccine
160,Laverne and Shirley star Eddie Mekka,dies aged 69,0,0,0,dies aged 69 .,Laverne  and  Shirley star Eddie Mekka dies aged 69
161,Harry Potter star Tom Felton,collapses during celebrity golf match,0,0,0,0,Harry Potter star Tom Felton collapses during celebrity golf match
162,India,meet its climate change targets,0,0,India,0,Can India meet its climate change targets?
163,15 - year - old gold medal winning Russian figure Skater Kamila Valievas,failed drug test,0,0,0,winning Russian figure Skater Kamila Valievas failed drug test confirmed,15-year-old gold medal winning Russian figure Skater Kamila Valievas failed drug test confirmed
164,Austrias Covid vaccine law,comes into force amid resistance,0,0,Austrias Covid vaccine law,0,Austrias Covid vaccine law comes into force amid resistance
165,France,is declaring Josephine Baker,0,0,France,a national hero .,Why France is declaring Josephine Baker a national hero
166,UK research,is institutionally racist,0,0,Black scientists,Black scientists say UK research is institutionally racist .,Black scientists say UK research is institutionally racist
167,0,0,0,0,0,0,US inmates sue over Covid treatment with horse dewormer
168,Suspect named after car,ploughs into Waukesha Christmas parade,0,Christmas,Suspect named after car,car ploughs into Waukesha,Suspect named after car ploughs into Waukesha Christmas parade in Wisconsin
169,Joyful reunions as Australia,opens to world after two years,0,0,0,Joyful reunions as Australia opens to world after two years,Joyful reunions as Australia opens to world after two years
170,0,0,0,0,0,0,Advice on accessing BBC News
171,Ukrainian civilians,leave Irpin after days of fighting,0,0,Ukrainian civilians,Ukrainian civilians leave Irpin after days of fighting .,Ukrainian civilians leave Irpin after days of fighting
172,UK,to impose sanctions,0,0,UK,0,UK to impose sanctions on Russias President Putin
173,0,0,0,0,0,of injured Buffalo victim demand political action .,Parents of injured Buffalo victim demand political action
174,Virgin Galactic,rebuts misleading New Yorker story,0,0,0,0,Virgin Galactic rebuts misleading New Yorker story
175,Cuban dissident Fariñas,detained on return from rights tour,0,0,Cuban dissident Fariñas,Cuban dissident Fariñas detained on return from rights tour .,Cuban dissident Fariñas detained on return from rights tour
176,The BBCs Sarah Rainsford,reflects on being barred from Russia on the countrys freedoms,0,0,The BBCs Sarah Rainsford,0,The BBCs Sarah Rainsford reflects on being barred from Russia and the assault on the countrys freedoms
177,Homeworking,helps careers,0,0,Homeworking,0,"Homeworking helps careers, say majority of women"
178,Covid in Austria,:,0,0,0,0,Covid in Austria: Mass protest in Vienna against measures
179,Sudan,on the brink,0,0,0,democracy,Sudan on the brink amid scramble for democracy
180,0,0,0,0,0,Insurer giant opens Indias largest share sale .,LIC IPO: Insurer giant opens Indias largest share sale
181,"Companies including Google , Amazon and Ikea",are not meeting their own green targets,Amazon,0,0,"own green targets , report finds .","Companies including Google, Amazon and Ikea are not meeting their own green targets, report finds"
182,Israel,tells us about the way,0,0,Israel,0,What Israel tells us about the way out of the Covid pandemic
183,Amber Heard,names,0,0,0,names new dog after Australian minister embroiled in feud .,Amber Heard names new dog after Australian minister embroiled in feud
184,Sierra Leone rebel commander,acquitted of rape during Liberias civil war by court,0,0,0,Liberias civil war by court in Finland .,"Sierra Leone rebel commander acquitted of rape, ritual murder and recruitment of child soldiers during Liberias civil war by court in Finland"
185,0,0,0,0,0,0,IS confirms leader Qurayshis death and names successor
186,0,0,0,0,Taiwan,19 Chinese warplanes entered air defence zone .,Taiwan says 19 Chinese warplanes entered air defence zone
187,the world,is reacting to the climate summit,0,0,0,0,How the world is reacting to the climate summit.
188,0,0,0,0,0,in high - stakes battle over US voting reforms .,Democrats and Republicans in high-stakes battle over US voting reforms
189,We,are graduates,0,0,we,are hungry say Bihar railways exam protestors .,"We are graduates, we are hungry say Bihar railways exam protestors"
190,her,is trying to convince others,0,0,China,"a successful mother of three , is trying to convince","After decades of the one-child policy, China now wants couples to have more children

Chen Ting, a successful mother of three, is trying to convince others to follow her lead"
191,0,0,0,0,0,Unvaccinated man denied heart transplant by US hospital .,Unvaccinated man denied heart transplant by US hospital
192,Shell,needs oil output,0,0,it,fund green shift .,Oil giant Shell says it needs oil output to fund green shift
193,0,0,0,0,0,found alive weeks after vanishing .,Moment 4-year-old found alive weeks after vanishing
194,Taliban,warn Afghan barbers,0,0,0,"Do nt trim beards , Taliban warn Afghan barbers .","Dont trim beards, Taliban warn Afghan barbers"
195,0,0,0,0,0,Yearly prostate checks benefit some men aged 40 plus .,Yearly prostate checks benefit some men aged 40 plus
196,0,0,0,0,0,Hidden wealth of one of Putin ’s inner circle revealed,Hidden wealth of one of Putin’s  inner circle  revealed
197,Julian Assange,still,0,0,Julian Assange,Assange still facing extradition to the US ?,Why is Julian Assange still facing extradition to the US?
198,Tiananmen Square,:,Tiananmen Square,0,0,0,Tiananmen Square: What happened in the protests of 1989?
199,policy,work,0,0,0,0,What is Chinas Covid policy and does it work?
200,0,0,0,0,0,killers sentenced,Family of aid worker killed by IS address US court as killers sentenced
201,Baby,lost in Kabul evacuation,0,0,0,0,Baby lost in Kabul evacuation is reunited with family
202,0,0,0,0,0,"in perfect health on first birthday , say father .","Nonuplets in perfect health on first birthday, say father"
203,Tiananmen Square memorial statue,removed in Hong Kong,Tiananmen Square,0,0,Square memorial statue removed in Hong Kong .,Tiananmen Square memorial statue removed in Hong Kong
204,0,0,0,0,0,Israeli PM meets Putin in Moscow .,Israeli PM meets Putin in Moscow
205,Ukraine,:,0,0,0,on Russian TV - a whole different story .,Ukraine: Watching the war on Russian TV - a whole different story
206,new Africa Covid,travel restrictions,Africa,0,England,imposes new Africa Covid travel restrictions .,England imposes new Africa Covid travel restrictions
207,The parkour group saving energy,by using their skills,0,0,The parkour group,0,The parkour group saving energy by using their skills turning off city lights
208,0,0,0,0,How invisible barcodes,How invisible barcodes could increase plastic recycling .,How invisible barcodes could increase plastic recycling
209,IT giants new work model,mean for India,0,0,0,giants new work model mean for India ?,TCS: What does IT giants new work model mean for India?
210,White House press dinner returns,after two years,0,0,0,0,White House press dinner returns after two years
211,Comedian Vir Das,causes a stir,0,0,Comedian Vir Das,0,Comedian Vir Das causes a stir with two Indias monologue
212,Man who had pig heart transplant,was guilty of 1988,0,0,0,was guilty of 1988 stabbing .,Man who had pig heart transplant was guilty of 1988 stabbing
213,Ford,announces $ 11.4 bn investment,0,0,0,in electric vehicle plants .,Ford announces $11.4bn investment in electric vehicle plants
214,Former Israeli PMs Netanyahu and Olmert,face off in court,0,0,0,Former Israeli PMs Netanyahu and Olmert face off in court,Former Israeli PMs Netanyahu and Olmert face off in court in libel case
215,I,have friends in Ukraine with guns,0,0,I,0,I have friends in Ukraine with guns now
216,Covid,deepened Americas,Americas,0,0,0,How Covid deepened Americas teacher shortages
217,Apple,be the last US tech giant,0,0,0,the last US tech giant left in China ?,Will Apple be the last US tech giant left in China?
218,India in bid,to boost defence ties,0,0,0,0,UK PM Boris Johnson to visit India in bid to boost defence ties
219,0,0,0,0,0,The high - tech fitness mirrors that aim to get,The high-tech fitness mirrors that aim to get you exercising more
220,McDonalds,to temporarily close its 850 stores,0,0,0,to temporarily close its 850 stores in Russia .,McDonalds to temporarily close its 850 stores in Russia
221,0,0,0,0,0,Ukrainian President Zelensky ’s journey from comedian to convincing war,Ukrainian President Zelensky’s journey from comedian to convincing war leader
222,the rest of the world,is worried,0,0,0,is worried .,Ethiopias Tigray conflict: Why the rest of the world is worried
223,Scott,was unaware fans,0,0,0,was unaware fans were hurt .,Astroworld: Travis Scott says he was unaware fans were hurt
224,The Queen,sends message to US President Biden,0,11 September,0,the,"The Queen sends message to US President Biden, marking 20 years since the 11 September attacks, saying her thoughts and prayers are with the victims, survivors and their families"
225,It,could have been us,0,0,0,welcome Ukrainian refugees by train : It could have been,Germans welcome Ukrainian refugees by train: It could have been us
226,0,0,0,0,0,"remain sharp until 60 , study suggests .","Brains remain sharp until 60, study suggests"
227,Russia,revives sport of bare - knuckle boxing,0,0,Russia,of bare - knuckle boxing .,Russia revives sport of bare-knuckle boxing
228,0,0,0,0,0,a spiritual crisis .,"Robot priests recite prayers, perform funerals, and comfort those experiencing a spiritual crisis"
229,China,is speaking to both Ukraine and Russia and wants to see peace,0,0,0,Quiet diplomacy will be more important than loud condemnation Victor,"Quiet diplomacy will be more important than loud condemnation

Victor Gao, from the Center for China and Globalization, says China is speaking to both Ukraine and Russia and wants to see peace restored"
