,who,what,where,when,why,how,text
12,Peter Johnstones,form the heart,0,0,0,the strange dreams that invaded his unconscious when he almost,🎼 Peter Johnstones memories of the strange dreams that invaded his unconscious when he almost died from Covid form the heart of a new piece of music
13,0,0,0,0,0,⚡️ Tired of being tired ?,⚡️ Tired of being tired? How to decode your fatigue
14,our,want to stay [ in Ukraine for the same reason that a doctor and an artist,0,0,everyone,the same reason that a doctor wants to finish an,"This is our family now and everyone plays a role. 

📺  Most of us want to stay [in Ukraine] for the same reason that a doctor wants to finish an operation and an artist wants to finish his picture. We started this story and we want to see the end of it"
15,A protest vote in North Shropshire,could see the Tories,North Shropshire,0,A protest vote in North Shropshire,"their safe seat in Thursdays by - election , a","❌A  protest vote  in North Shropshire could see the Tories lose their safe seat in Thursdays by-election, a Cabinet minister has said, as Labour plans to bus in hundreds of volunteers for the final days of the campaign"
16,It,will engulf you,0,0,There,– wealthy or not | Writes @laurendavidson .,📈 There is no escape from the worst cost of living crisis in a generation. It will engulf you – wealthy or not  | Writes @laurendavidson
17,Terror attack survivors,claim they,0,0,they,without enough mental or financial support five years on from,⚠️Terror attack survivors claim they have been left to  fall through the gaps  without enough mental or financial support five years on from the Westminster terror attack
18,0,0,0,0,Arif also,Arif also recommends keeping your alcohol consumption to a minimum,"🍷Arif also recommends keeping your alcohol consumption to a minimum.

Research shows that heavy drinking can damage many parts of your immune system"
19,–,arose from a fundamental misunderstanding,0,0,–,could possibly be about to happen again – arose from,"What happened – and could possibly be about to happen again – arose from a fundamental misunderstanding of what science is, and the degree to which its findings can be regarded as inviolable. | Writes Janet Daley"
20,Infections today,reached their highest level,0,today,0,their highest level since July amid fears that immunity is,🔴Infections today reached their highest level since July amid fears that immunity is starting to wane among the most vulnerable
21,leader Doug Beattie,may have to step down over accusations in historical tweets,0,0,leader Doug Beattie,in historical tweets .,🔴 The Ulster Unionist Party leader Doug Beattie may have to step down over accusations of misogyny and racism in historical tweets
22,Lord Geidt,has indicated he,0,0,he,to independently launch investigations into potential rule breaches by ministers,🔴Lord Geidt has indicated he wants the power to independently launch investigations into potential rule breaches by ministers in the wake of the Downing Street flat row
23,0,0,0,0,0,🔴 Ukrainian civilians living under Russian occupation have blown up,🔴 Ukrainian civilians living under Russian occupation have blown up a café close to the puppet government’s headquarters in the city of Kherson in what appears to be the first terror attack in occupied territories
24,At least 660 Ukrainian families,have been left homeless in England after arriving on visas,0,0,0,At least 660 Ukrainian families have been left homeless in,"🔴 At least 660 Ukrainian families have been left homeless in England after arriving on visas designed to secure them a place to live following the Russian invasion, official figures have shown.

Read more ⤵️"
25,his portfolio,Heres what our expert,0,0,Tom Sainsbury,some big decisions to make about his portfolio Heres what,"💸 27-year-old Tom Sainsbury has some big decisions to make about his portfolio 

Heres what our expert had to say 👇"
26,Vladimir Putin,will pulverise Ukraines capital,0,0,0,"the back foot , prompting fears Vladimir Putin will pulverise","🔴 Urban fighting will put the Russians on the back foot, prompting fears Vladimir Putin will pulverise Ukraines capital"
27,The true casualty tolls,"are expected to be significantly higher , as reports",0,Sunday,"1,119 civilians","so far during the war in Ukraine , while 1,790","🔴 The UN said on Sunday that 1,119 civilians had been killed so far during the war in Ukraine, while 1,790 have been wounded.

The true casualty tolls are expected to be significantly higher, as reports have been delayed due to intense bombardment"
28,Sheffield United captain Billy Sharp,was apparently attacked when Nottingham Forest fans,0,0,0,was apparently attacked when Nottingham Forest fans spilled onto the,🔴A man has been arrested on suspicion of assault after Sheffield United captain Billy Sharp was apparently attacked when Nottingham Forest fans spilled onto the pitch at the end of Tuesdays stormy Championship play-off semi-final
29,0,0,0,0,You,’ll Never Walk Alone has become the most played song,You’ll Never Walk Alone has become the most played song at funerals after gaining popularity during the pandemic
30,I,think my anger,0,0,you,was genuinely angry then – and I think my anger,"🗣️  I was genuinely angry then – and I think my anger represented how people were feeling.

 But you can’t sustain a daily show in prime time with me shouting"
31,our,are unsurprised by the ruling,0,0,Judge Kaplan,"However , it was not a judgement on the merits","Given the robustness with which Judge Kaplan greeted our arguments, we are unsurprised by the ruling. However, it was not a judgement on the merits of Ms Giuffre’s allegations,  the source said.

Read more"
32,0,0,0,0,0,"Almost 200,000 British pensioners whose old employers have gone bust","Almost 200,000 British pensioners whose old employers have gone bust will be thousands of pounds poorer in retirement"
33,I,"ca n’t think of a better tribute to Broadcasting House , ideally in camp tap - dance mode",0,Christmas,I,ca n’t think of a better tribute than a statue,"📺  I can’t think of a better tribute than a statue of Lionel Blair outside the doors to Broadcasting House, ideally in camp as Christmas tap-dance mode  | Writes @domcavendish"
34,The pop group,were catapulted to worldwide success after winning the Eurovision,0,0,They,to worldwide success after winning the Eurovision in 1974 .,"💫The pop group were catapulted to worldwide success after winning the Eurovision in 1974.

They have since sold more than 400 million albums and singles.

The popular quartet parted ways after last performing together in 1982"
35,This Mayfair,is London ’s,0,0,"medical centre , gym and spa","Mayfair medical centre , gym and spa is London ’s","💉 This Mayfair medical centre, gym and spa is London’s leading medispa.

 I was soon to be whirled around by a machine designed for astronaut training  writes Eilidh Hargreaves"
36,"There ’s no no magic potion , green juice or anti-ageing wonder cream",need to know about,0,0,it,"no magic potion , green juice or anti-ageing wonder cream","There’s no no magic potion, green juice or anti-ageing wonder cream you need to know about. Looking and feeling your best requires the same formula at 47 as it does at 27"
37,all concerned,have had their reputations,0,0,It,an unsavoury saga from which all concerned have had their,"It brings to an end an unsavoury saga from which all concerned have had their reputations tarnished,  writes @oliverbrown_tel"
38,Germany ’s chancellor,appeared to claim he than he,0,Tuesday,he,more military aid to Kyiv than he had .,🇩🇪 Germany’s chancellor appeared to claim he was doing more to support Ukraine than Britain on Tuesday as he suggested that only the United States had sent more military aid to Kyiv than he had.
39,Scores of children across Europe,are suffering from food poisoning after being infected with salmonella,Europe,Easter,salmonella,being infected with salmonella linked to a batch of Kinder,Scores of children across Europe are suffering from food poisoning after being infected with salmonella linked to a batch of Kinder Surprise milk chocolate eggs in the run-up to Easter
40,Ms Le Pen,is elected president,0,0,Marine Le Pen,of big moves in the euro and French borrowing costs,"🇫🇷 Market fears of Marine Le Pen pulling off a shock upset in the French presidential election are mounting.

🔴 Economists warned of big moves in the euro and French borrowing costs if Ms Le Pen is elected president"
41,Andrew Bailey,has brought in consultants,0,0,Andrew Bailey,"be handed £ 203,000 of taxpayer cash for four months","Andrew Bailey has brought in consultants from The Storytellers, a London-based company, who will be handed £203,000 of taxpayer cash for four months work, according to official documents"
42,0,0,0,0,it,"with ever more atrocities in Ukraine , and the propaganda","❓What fate now, then, awaits  Z : should it go on to be associated with ever more atrocities in Ukraine, and the propaganda campaign of an increasingly totalitarian regime in Russia?

Read the full story👇"
43,0,0,0,Wednesday,0,"Nothing much changed on Wednesday , but that does n’t","✍️ Nothing much changed on Wednesday, but that doesn’t mean it wasn’t significant,  | Writes @Madz_Grant"
44,🇯🇵 Japanese Princess Mako ’s new husband,appears to have failed the New York bar exam,0,0,🇯🇵 Japanese Princess Mako ’s new husband,🇯🇵 Japanese Princess Mako ’s new husband appears to have,"🇯🇵Japanese Princess Mako’s new husband appears to have failed the New York bar exam, scuppering the couple’s plans to live off his lawyer’s salary"
45,the early diagnosis,made her working life,0,0,one woman,the early diagnosis made her working life a living hell,"♀️ I went into menopause at the age of 37 - no woman should have to suffer in silence 

Writing for @Telegraph, one woman explains how the early diagnosis made her working life a living hell.

🧵👇"
46,the Duke of Cambridge,has revealed,0,0,0,been litter picking at school but is confused and annoyed,"👑Prince George has been litter picking at school but is  confused  and  annoyed  that the rubbish keeps reappearing, the Duke of Cambridge has revealed"
47,Russia,is planning a lightning advance and claim it,0,0,it,our live blog here .,"Experts warn that Russia is planning a lightning advance to encircle Ukraine’s army and claim it has won the war.  

Follow our live blog here"
48,I,’ve been dubbed Special K,0,0,0,"dubbed Special K since I was born , Keir Starmer","I’ve been dubbed Special K since I was born,  Keir Starmer revealed"
49,Boris Johnson,has accused the EU,Northern,0,Boris Johnson,an insane and pettifogging way .,🗣️Boris Johnson has accused the EU of implementing the Northern Ireland Protocol in  an insane and pettifogging  way
50,The Officer ’s quick thinking,in rescuing,0,0,0,’s quick thinking in rescuing 93 - year - old,🔴The Officer’s quick thinking in rescuing 93-year-old is a small glimmer of hope amid devastating floods that have so far claimed 13 lives
51,0,0,0,0,0,"night full of clunking cliché , limp jokes and awkward","The  was a night full of clunking cliché, limp jokes and awkward set pieces. But thanks to a slap from Will Smith, it will go down in history⭐️⭐️⭐️"
52,A win for Boris Johnson,"could still be the beginning , writes @gordonrayner",0,0,0,"could still be the beginning of the end , writes","🔴A win for Boris Johnson could still be the beginning of the end, writes @gordonrayner. 

Read the full analysis here 👇"
53,0,0,0,0,0,"the pre-pandemic total , according to the Centre for Policy","🔴The number of people commuting every day at peak times is just 15pc of the pre-pandemic total, according to the Centre for Policy Studies"
54,0,0,0,0,The first millipede,most egregious nomenclature errors in the animal kingdom .,"🔎 The first millipede with more than 1,000 legs has been discovered by scientists, righting one of the most egregious nomenclature errors in the animal kingdom"
55,0,0,0,0,more,The female MP who accused Boris Johnson ’s father of,🔴The female MP who accused Boris Johnson’s father of touching her inappropriately has challenged the Prime Minister over whether more should be done to give women confidence to report sexual harassment
56,more of @AHABDiggins piece about the Buzzer,here,0,0,0,0,Read more of @AHABDiggins piece about the Buzzer here 👇
57,[ black queer ] people,do n’t want to explain ourselves,0,0,There,[ black queer ] people do n’t want to explain,"🗣️  There is a time when [black queer] people don’t want to explain ourselves, and we just want to be with kinfolk without having to perform 

Read the full interview with Jasmine Lee-Jones 👇"
58,A former Nato commander,has warned that Britain,0,0,Britain,A former Nato commander has warned that Britain could be,"🗣️A former Nato commander has warned that Britain could  be at war with Russia. 

General Sir Richard Sherriff said:  If Russia puts one bootstep across Nato territory we are all at war with Russia - every single member of Nato alliance"
59,🌡️ 2021,has seen all parts,0,September,🌡️ 2021,with average heat higher than at any point since 1880,"🌡️2021 has seen all parts of the world - from the US to Africa, the Middle East and Asia - experience at least one month with average heat higher than at any point since 1880.
 
A total of 549 record monthly temperatures have been seen already by September"
60,Boris Johnson,is next week expected to announce a manifesto - breaking tax hike,0,next week,Boris Johnson,the biggest overhaul in social care in a generation and,🔴💷Boris Johnson is next week expected to announce a manifesto-breaking tax hike to pay for the biggest overhaul in social care in a generation and bring down NHS waiting lists
61,Weiwei,wo n’t be silenced anytime soon,0,0,because he believed writers should have creative freedom .,wo n’t be silenced anytime soon .,"But at 64, Weiwei won’t be silenced anytime soon. This is a man whose father was sent to a labour camp because he believed writers should have creative freedom."
62,"Impoverished , isolated and authoritarian , North Korea and Eritrea",are the only two countries,0,0,0,"🔴 Impoverished , isolated and authoritarian , North Korea and","🔴Impoverished, isolated and authoritarian, North Korea and Eritrea are the only two countries refusing to vaccinate their populations"
63,the final document,"appeared to focus on equality , diversity and inclusion",0,0,0,"in full , has been criticised by colleagues after the","🔴 The Health Secretary, who accepted the report’s recommendations in full, has been criticised by colleagues after the final document appeared to focus on  equality, diversity and inclusion"
64,0,0,0,0,0,against Saudi political exiles seriously or risk another outrage like,"Police must take threats against Saudi political exiles seriously or risk another outrage like the murder of Jamal Khashoggi, human rights activists have said"
65,0,0,0,0,0,"at least 2,000 patients needing it to survive , World","🔴Ukraines hospitals face an oxygen shortage with at least 2,000 patients needing it to survive, World Health Organisation (WHO) leaders have warned"
66,0,0,0,0,There,are serious disagreements within the EU about a proposed embargo,There are serious disagreements within the EU about a proposed embargo on the Kremlins oil  | Telegraph View
67,the Oxford team,found the gene,0,0,the Oxford team,"the immune system , and instead was making physical changes","🔬 But the Oxford team found the gene had no impact on the immune system, and instead was making physical changes in lung cells"
68,I,do n’t want to be a Scrooge,0,0,A family tradition of generosity,"do n’t want to be a Scrooge , but I","I don’t want to be a Scrooge, but I also find the excess distasteful. 

A family tradition of generosity is causing a rift in our readers marriage. She turns to The Midults for advice 👇"
69,she,will present massive sanctions,0,the day,she,Unions chief executive has said she will present massive sanctions,"🇪🇺The European Unions chief executive has said she will present  massive  sanctions to the blocs national leaders for approval later in the day against Russia.

She said new EU sanctions would block Russias access to  key technologies and markets"
70,0,0,0,October last year,0,0,"There are now just 10 fixed-rate mortgages below 1pc, according to the analyst Moneyfacts, down from 130 in October last year"
71,Shell,might well be worth more stripped of its legacy business,0,0,0,might well be worth more stripped of its legacy business,"Shell might well be worth more stripped of its legacy business, and its focus on alternative energies might well sharpen up. More significantly, why stop with Shell?  | Writes @mattlynnwriter"
72,UK authorities,are still allowing the Taliban,0,0,"because of their inability to take on the City , a former White House intelligence chief has said .",are still allowing the Taliban to launder its money in,"🔴UK authorities are still allowing the Taliban to launder its money in the UK 20 years after 9/11 because of their inability to take on the City, a former White House intelligence chief has said"
73,An Oklahoma woman,has been identified as the baby,0,0,0,found dead and dumped in woods .,"🔍 An Oklahoma woman has been identified as the baby who vanished in the 1980s, when her newlywed parents were found dead and dumped in woods"
74,Phoenix Life,charged my husband,0,0,0,too soon .,"🔴 Phoenix Life charged my husband a £53,000 penalty for dying four months too soon"
75,Democratic Congresswoman Alexandria Ocasio - Cortez,arrived at the Met Gala wearing a gown,0,0,Democratic Congresswoman Alexandria Ocasio - Cortez,Democratic Congresswoman Alexandria Ocasio - Cortez arrived at the Met,"Democratic Congresswoman Alexandria Ocasio-Cortez arrived at the Met Gala wearing a gown with the phrase TAX THE RICH’ scrawled across her back.

Without a hint of irony, AOC rubbed shoulders with global celebrities at an event which costs $30,000 for a ticket"
76,The owner of British Airways,is at risk from France and Germany under legacy Brussel rules,0,0,0,0,"✈️The owner of British Airways is at risk of a challenge from France and Germany under legacy Brussel rules that would force it to break up, analysts have warned"
77,Boris Johnson,has been ridiculed after his TikTok debut,0,0,Boris Johnson,wo n’t necessarily catch me dancing on here .,"📱Boris Johnson has been ridiculed after his TikTok debut, in which he warned viewers they  won’t necessarily catch me dancing on here ."
78,Insulate Britain activists,have avoided further contempt,0,0,Insulate Britain activists,are n’t covered by High Court injunctions .,🔴 Insulate Britain activists have avoided further contempt of court charges by blocking roads that aren’t covered by High Court injunctions
79,It,of squalor,0,0,@SheridanDani,of makeshift beds and discarded food .,"🎥@SheridanDani reports from the scene of Russians soldiers abandoned HQ in Bucha, a town that’s recently been retaken by Ukrainian forces. 

It’s a scene of squalor – of makeshift beds and discarded food.

Read more here 👇"
80,The multi-million pound yachts,are far from cheap to hold onto and can not sit still indefinitely,0,0,0,are far from cheap to hold onto and can not,The multi-million pound yachts are far from cheap to hold onto and cannot sit still indefinitely: bills are racking up for maintenance and mooring fees
81,the political class,has lost its bearings,Australasia,0,0,"the political class has lost its bearings , leaving us","✍️ In the USA, Canada, Australasia, and Britain, the political class has lost its bearings, leaving us dangerous exposed | Writes Robert Tombs"
82,a juror,failed to disclose that he,0,0,he,childhood sexual abuse .,🔴NEW: Prosecutors in Ghislaine Maxwell’s sex-trafficking case have asked a New York court to hold an inquiry into whether a juror failed to disclose that he was a victim of childhood sexual abuse
83,0,0,0,0,0,change rural life for ever Read the full story .,"🌳 An ailing Lancashire community is now the poster child for a movement that might change rural life for ever

Read the full story"
84,0,0,0,0,Investors,more heavily on a slump in the pound than at,"🔴Investors are betting more heavily on a slump in the pound than at any time since the lockdown last winter, as stagflation fears stalk the currency"
85,Russia,has claimed the withdrawal,0,0,Russia,in constructive peace negotiations .,🇷🇺 Russia has claimed the withdrawal from Kyiv and the city of Chernihiv was to build trust in  constructive  peace negotiations
86,"🏥 20,065 people in England",were waiting more than two years,0,the end of December 2021,0,start routine hospital treatment at the end of December 2021,"🏥20,065 people in England were waiting more than two years to start routine hospital treatment at the end of December 2021, about eight times the 2,608 people who were waiting longer than two years in April 2021"
87,A 2018 study by Louisiana State University,found that they,0,0,Snacking certainly,Snacking certainly has an effect on our waistlines .,"🧁 Snacking certainly has an effect on our waistlines. 

A 2018 study by Louisiana State University found that they are responsible for as much as 11 per cent of eating behaviour and weight gain"
88,Northampton police,checking supermarket baskets,Northampton,0,0,for non-essential items .,🛒 Northampton police checking supermarket baskets for non-essential items
89,Sue Gray ’s report,"has been released , finding that there",0,0,there,there were failings of leadership and judgment by No 10,"🔴Sue Gray’s report into alleged lockdown-busting parties in Downing Street has been released, finding that there were  failings of leadership and judgment  by No 10"
90,Vladimir Putin,spoke to Emmanuel Macron as Boris Johnson,Sue,Monday,Vladimir Putin,Boris Johnson fought the fallout from the Sue Gray report,🗣️Vladimir Putin spoke to Emmanuel Macron in a video meeting on Monday as Boris Johnson fought the fallout from the Sue Gray report
91,the world,"has the potential to be a far more dangerous place , writes Con Coughlin.⁠",Tehran,today,0,world certainly has the potential to be a far more,"✍️ From Beijing to Moscow, and from Tehran to Kabul, the world certainly has the potential to be a far more dangerous place in 2022 than it is today,  writes Con Coughlin.⁠"
92,Russia ’s ambassador to Poland,has been doused in red paint during angry scenes,Soviet Military Cemetery,0,Russia ’s ambassador to Poland,in red paint during angry scenes at a Soviet war,"🔴 Russia’s ambassador to Poland has been doused in red paint during angry scenes at a Soviet war memorial. 

Sergey Andreyev had the bucket of paint thrown over his face while he visited the Soviet Military Cemetery in Warsaw to mark Russian Victory Day"
93,the Government,rejected three quarters,0,0,0,A fresh Brexit fishing war threatened to break out on,A fresh Brexit fishing war threatened to break out on Tuesday night after the Government rejected three quarters of applications from small French boats to fish waters around Britain
94,Cabinet ministers and senior Tories,have urged Rishi Sunak,0,0,0,and senior Tories have urged Rishi Sunak .,"🗣️The National Insurance rise should be deferred, Cabinet ministers and senior Tories have urged Rishi Sunak"
95,Ghislaine Maxwell,has finally been removed from solitary confinement after almost two years,0,0,0,has finally been removed from solitary confinement after almost two,"🔴Ghislaine Maxwell has finally been removed from solitary confinement after almost two years of torture’, her family have disclosed"
96,former PM Tony Blair,has called on the Government to introduce vaccine passports or risk further lockdowns,0,Today,@PaulNuki and @sneweyy,", former PM Tony Blair has called on the Government","Today, former PM Tony Blair has called on the Government to introduce vaccine passports now or  risk further lockdowns. 

@PaulNuki and @sneweyy spoke to leading experts and look at three options for how things might pan out over the next six months 👇"
97,The pandemic,saw a huge surge,0,0,0,a huge surge in the number of people being targeted,"🔴The pandemic saw a huge surge in the number of people being targeted by obsessive stalkers, especially online, with cases rising as much as 200 per cent in some areas"
98,The Telegraphs team on the ground,will be reporting live from Worthy Farm throughout,0,0,0,reporting live from Worthy Farm throughout .,⚡️The Telegraphs team on the ground will be reporting live from Worthy Farm throughout
99,Kwasi Kwarteng,is looking to use the taxpayer ’s,0,0,Britain,the European Galileo project after Brexit .,Kwasi Kwarteng is looking to use the taxpayer’s stake in OneWeb to build a satellite navigation system after Britain was removed from the European Galileo project after Brexit
100,0,0,0,Sunday,Russian forces,🔴 Russian forces have attacked oil and gas facilities in,"🔴Russian forces have attacked oil and gas facilities in Ukraine, sparking huge explosions, officials said on Sunday.

This comes as Western allies prepared new sanctions including banishing key Russian banks from the main global payments system"
101,Ofgem,has threatened enforcement action,0,0,Ofgem,"their sluggish response to restore power to more than 9,000","Ofgem has threatened enforcement action against energy firms over their sluggish response to restore power to more than 9,000 homes in the aftermath of Storm Arwen."
102,carmaker,suffered a technical failure,0,0,it,a legal complaint against the American carmaker amid reports French,A Paris taxi driver whose Tesla crashed and killed one person has filed a legal complaint against the American carmaker amid reports French investigators suspect it suffered a technical failure
103,NEW : Vladimir Putin,agrees to try to secure a ceasefire,0,0,NEW : Vladimir Putin,in last - ditch talks with Emmanuel Macron .,🔴 NEW: Vladimir Putin agrees to try to secure a ceasefire in Ukraine in last-ditch talks with Emmanuel Macron
104,She,told the UN ’s,0,0,She,"Without substantial immediate and aggressive coordinated global actions , we","🗣️She told the UN’s Security Council:  Without substantial immediate and aggressive coordinated global actions, we stand the risk of an extraordinary amount of both human suffering and economic damage"
105,0,0,0,Saturday,"new nuclear missile , which is capable of striking the UK and the US ,","Russias new nuclear missile , which is capable of striking","🔴 Russias new nuclear missile, which is capable of striking the UK and the US, will be ready to fire by the autumn, the head of the countrys space programme said on Saturday"
106,I,"can not be doing with whole beans , grinding , tamping down , faffing about cleaning spouts and filters",Nespresso,0,0,"with whole beans , grinding , tamping down , faffing","☕ I cannot be doing with whole beans, grinding, tamping down, faffing about cleaning spouts and filters. Let’s not even speak of Nespresso"
107,Britain,has some of the world ’s most relaxed laws,0,0,Britain,most relaxed laws on escape stairs in high - rise,"🧑‍⚖️ Britain has some of the world’s most relaxed laws on escape stairs in high-rise buildings.

🌐 Second stairs are required in buildings as low as two storeys in Canada and four in the US, while in Belgium, Poland and Norway, it’s 25"
108,President Biden,has declared an end,0,0,0,"Afghanistan ’s role in 9/11 showed , not all America","President Biden has declared an end to nation-building. But as Afghanistan’s role in 9/11 showed, not all America’s conflicts are wars of choice  | Writes Mark Almond"
109,himself,had feared,0,0,rookie Rishi,has finally shown some of the political nous his contemporaries,"🔴In putting some distance between himself and an administration mired in scandal,  rookie Rishi  has finally shown some of the political  nous  his contemporaries had feared he was missing

📸Simon Walker HM Treasury"
110,Credit Suisse,has been rocked by a huge data leak that it,0,0,it,a huge data leak with fresh accusations that it served,⚠️Credit Suisse has been rocked by a huge data leak with fresh accusations that it served some clients who were alleged to be involved in torture and drug trafficking
111,Russia,invaded Ukraine,Europe,0,0,of Russian oligarchs - superyachts .,"🛥 When Russia invaded Ukraine, governments seized the prized assets of Russian oligarchs - superyachts. 

Now, the superyachts are accumulating in shipyards across Europe. 

❓What’s going to happen next?

🧵👇"
112,the Prime Minister ’s joke - packed conference performance,will be thrown back in his face,0,0,0,thrown back in his face | Writes @LiamHalligan .,"💡  If the lights go out this winter, the Prime Minister’s joke-packed conference performance will be thrown back in his face  | Writes @LiamHalligan"
113,Rishi Sunak,has boasted of spending,0,0,Rishi Sunak,he unveiled a £ 21 billion package of support,"🔴Rishi Sunak has boasted of spending and taxing more than Labour would to help households through the cost of living crisis, as he unveiled a £21 billion package of support"
114,Tom Tugendhat,has thrown his hat,0,0,Tom Tugendhat,the Conservatives are not a party with one pope and,"Tom Tugendhat has thrown his hat into the ring to replace Boris Johnson, declaring that the Conservatives are not a party with  one pope and one leader"
115,Garry Newloves killer,has been blocked from being transferred to an open prison by Dominic Raab,0,0,0,an open prison by Dominic Raab .,🔴 Garry Newloves killer has been blocked from being transferred to an open prison by Dominic Raab
116,The fighter pilots,are working so hard that they to honour a fallen comrade or Die magazine,0,0,The fighter pilots,so hard that they only have time to honour a,"The fighter pilots are working so hard that they only have time to honour a fallen comrade by sharing a piece of bread and a glass of vodka, Coffee or Die magazine reported"
117,Liz Truss,has warned,West,0,Russia,"the Ukrainian border for months , Liz Truss has warned","Russia is preparing to  test the mettle  of the West by dragging out the stand-off at the Ukrainian border for months, Liz Truss has warned.

🔓 This article is currently free to read. 👇"
118,Johnson,battles to save his premiership,0,0,he,"its highest rate since the early 1990s , in a","📈 Surging food bills helped drive inflation to its highest rate since the early 1990s, in a major blow for Boris Johnson as he battles to save his premiership"
119,Biden,faces a stalling economy,0,0,recession,most closely watched harbingers of a US recession has flashed,🔴 One of the market’s most closely watched harbingers of a US recession has flashed red for the first time in 16 years in a further blow for Joe Biden as his struggling presidency faces a stalling economy
120,They,used to say to young people,0,Today,They,to young people seeking their fortune that they should go,"They used to say to young people seeking their fortune that they should go west. Today, Britain needs to look east  | Writes @AnthonyMangnal1"
121,We,understand there but how are other countries,0,0,there,arrangements much better ?,We understand there is a pandemic but how are other countries managing their travel arrangements much better?  | Telegraph View
122,Britain ’s top civil servant,was clinging to his job night after being blamed in Sue Gray ’s for overseeing a culture,0,0,Britain,’s top civil servant was clinging to his job on,🔴Britain’s top civil servant was clinging to his job on Wednesday night after being blamed in Sue Gray’s partygate report for overseeing a culture of rule-breaking in Number 10
123,0,0,0,0,action,🔴 Unprecedented world hunger lies ahead unless action is taken,"🔴 Unprecedented  world hunger lies ahead unless action is taken on climate change, according to the World Food Programme"
124,the challenges,are more complex,0,0,0,more complex .,"✈️ Carmakers are racing ahead in developing faster, cheaper electric cars. In aviation, the challenges are more complex"
125,Access to some of the BBC,has been blocked in Russia after Moscow,0,0,Moscow,"the political situation , reports @VerityBowman .","❌Access to some of the BBC has been  blocked  in Russia after Moscow accused the broadcaster of undermining the political situation, reports @VerityBowman"
126,It ’s now a month since Dame Cressida Dick,resigned as Met Police Commissioner,0,0,the announcement,Dame Cressida Dick resigned as Met Police Commissioner,"🗣️  It’s now a month since Dame Cressida Dick resigned as Met Police Commissioner. But the announcement has done nothing to slow the torrent of scandals engulfing the Met. If anything, the torrent seems to be growing  | Writes Michael Deacon"
127,0,0,0,0,Draconian,🔴 Draconian Covid - 19 travel restrictions are to be,🔴 Draconian Covid-19 travel restrictions are to be lifted on dozens of major overseas destinations within days
128,the Queen,would be watching the Derby,0,Saturday,Zara Tindall,her comfy clothes after the 96 - year - old,🗣 Zara Tindall said the Queen would be watching the Derby on TV in her  comfy clothes  after the 96-year-old monarch was forced to pull out of Saturday’s legendary race meeting at Epsom
129,0,0,0,0,Here,"a military base near the Polish border , and a","Here is your Ukraine-Russia evening briefing 👇

Dozens killed in a strike on a military base near the Polish border, and a US journalist is shot dead"
