,who,what,when,where,why,how,text
34,Indian Prime Minister Narendra Modi,pledges his country,0,0,0,Indian Prime Minister Narendra Modi pledges his country will target,"Indian Prime Minister Narendra Modi pledges his country will target net zero carbon emissions by 2070, two decades later than COP26 climate conference target

#COP26BBC https://t.co/fLeTWI1zDg"
35,The Queen,advised by doctors to rest for two further weeks and will not undertake official visits,0,0,0,"undertake official visits during this time , Buckingham Palace says","The Queen advised by doctors to rest for two further weeks and will not undertake official visits during this time, Buckingham Palace says https://t.co/7CSuQuf3NE"
36,Chancellor Rishi Sunak,announces in Budget speech https://t.co/d3IJdhPEkQ,0,0,Chancellor Rishi Sunak,"to pre-Covid levels by end of 2021 , Chancellor Rishi","UK economy to return to pre-Covid levels by end of 2021, Chancellor Rishi Sunak announces in Budget speech https://t.co/d3IJdhPEkQ"
37,The Queen,"will not go to next week 's in Glasgow to meet world leaders , after being advised to rest",next week,Palace,The Queen,"being advised to rest , Buckingham Palace says https://t.co/TPEaXvttLV","The Queen will not go to next week's COP26 climate change summit in Glasgow to meet world leaders, after being advised to rest, Buckingham Palace says

https://t.co/TPEaXvttLV"
38,"Former Rangers , Everton and Scotland manager Walter Smith",dies at age,0,0,0,"Former Rangers , Everton and Scotland manager Walter Smith dies","Former Rangers, Everton and Scotland manager Walter Smith dies at age 73 https://t.co/l5LJS8TXkU"
39,0,0,Wednesday,0,UK National,0,"UK National Living Wage set to be raised to £9.50 an hour, from £8.91 an hour, in Wednesday's budget https://t.co/p6tOyZ80WH"
40,US,announces it,8 November,0,0,to fully vaccinated travellers from 8 November https://t.co/a7IJ3ej6WG .,US announces it will reopen its borders to fully vaccinated travellers from 8 November https://t.co/a7IJ3ej6WG
41,Dubai ruler Sheikh Mohammed Al - Maktoum,ordered the hacking,0,0,0,of mobile phones during his divorce custody case with Princess,"Dubai ruler Sheikh Mohammed Al-Maktoum ordered the hacking of mobile phones during his divorce custody case with Princess Haya, UK court says 

https://t.co/VmDHDbilrg"
42,Japan ’s Princess Mako,will marry her former classmate and give up her royal status https://t.co/2Um7skGBZq,this month,0,0,"her former classmate , a commoner , this month and","After years of controversy, Japan’s Princess Mako will marry her former classmate, a commoner, this month and give up her royal status

https://t.co/2Um7skGBZq"
43,0,0,Christmas Eve,0,0,"5,000 overseas lorry drivers and 5,500 poultry workers will be","5,000 overseas lorry drivers and 5,500 poultry workers will be eligible for three-month UK visas until Christmas Eve https://t.co/g9bCbEtucP"
44,2018,are flying home,0,0,Trudeau,"flying home , Trudeau says , after a US deal","Two Canadians detained in China since 2018 are flying home, Trudeau says, after a US deal freed a Huawei executive https://t.co/pHx58NsG7e"
45,North Korea,fires two ballistic missiles,0,0,0,"two ballistic missiles , South Korea says https://t.co/fqsQLTtYul .","North Korea fires two ballistic missiles, South Korea says

https://t.co/fqsQLTtYul"
46,Taliban,announce government for Afghanistan,0,0,0,wanted militant as interior minister https://t.co/njuZL3LRK3 .,"Taliban announce government for Afghanistan, led by one of their founders, with an FBI-wanted militant as interior
minister https://t.co/njuZL3LRK3"
47,0,0,0,0,UK,Russian state - backed news channel RT 's licence to,"Russian state-backed news channel RT's licence to broadcast in UK revoked ""with immediate effect"", regulator Ofcom says
 
https://t.co/fH6nO11ZUU"
48,0,0,0,0,0,"Legendary Australian leg - spinner Shane Warne , one of","Legendary Australian leg-spinner Shane Warne, one of the greatest cricketers of all time, dies of suspected heart attack aged 52 https://t.co/EBjLRYBW8f"
49,Vladimir Putin,insists Ukraine invasion,0,0,Vladimir Putin,as humanitarian crisis grows in cities under Russian bombardment https://t.co/kS77xLMXDB,"Vladimir Putin insists Ukraine invasion ""going to plan"" as humanitarian crisis grows in cities under Russian bombardment 

https://t.co/kS77xLMXDB"
50,0,0,0,Mariupol,0,in Ukrainian city of Mariupol where hundreds of civilians were,"Russia bombs theatre in Ukrainian city of Mariupol where hundreds of civilians were sheltering, deputy mayor says https://t.co/KPOwGIUDBQ"
51,the rights of organisers of planned vigil for Sarah Everard,judges rule https://t.co/VOudSjQA2e,0,0,0,"Sarah Everard , judges rule https://t.co/VOudSjQA2e","London's Metropolitan Police breached the rights of organisers of planned vigil for Sarah Everard, judges rule

https://t.co/VOudSjQA2e"
52,Will Smith,was asked to leave Oscars ceremony but refused,0,0,0,"hitting Chris Rock but refused ,","Will Smith was asked to leave Oscars ceremony after hitting Chris Rock but refused, Academy says https://t.co/WqW09kNXIc"
53,0,0,0,0,0,"very promising "" in peace talks with Ukraine so far","""Nothing very promising"" in peace talks with Ukraine so far, Russian President Putin's spokesman says

Follow live updates here https://t.co/PXAC9A5ZB0"
54,Will Smith,apologises after slapping Chris Rock,0,0,0,was unacceptable and inexcusable ” - Will Smith apologises after,“My behaviour was unacceptable and inexcusable” - Will Smith apologises after slapping Chris Rock at the Oscars https://t.co/GCUFe3DPrJ
55,The Oscars,"condemns "" Will Smith 's and says",0,0,it,launched formal review of incident https://t.co/cHWY1pRs9W .,"The Oscars film academy ""condemns"" Will Smith's slapping of Chris Rock and says it has launched formal review of incident https://t.co/cHWY1pRs9W"
56,Roman Abramovich,suffered symptoms of suspected poisoning,earlier this month,0,Roman Abramovich,Russian billionaire Roman Abramovich suffered symptoms of suspected poisoning at,"Russian billionaire Roman Abramovich suffered symptoms of suspected poisoning at peace talks in Kyiv earlier this month, spokesperson says https://t.co/SBs3nSLJVy"
57,BBC,learns https://t.co/kCdUjqDnY1,0,0,they,"given better maternity care by NHS Trust , BBC learns","More than 200 babies in England might have survived if they had been given better maternity care by NHS Trust, BBC learns https://t.co/kCdUjqDnY1"
58,Russia,"will "" drastically reduce "" assault",0,Kyiv,it,"drastically reduce "" assault on Ukraine 's capital Kyiv","Russia says it will ""drastically reduce"" assault on Ukraine's capital Kyiv, where its advance is stalled https://t.co/OQQ128oy8i"
59,0,0,0,0,0,should initially be issued over Downing Street parties that breached,"Police recommend 20 fines should initially be issued over Downing Street parties that breached Covid lockdown rules

https://t.co/7m7iniTyF1"
60,US gas deal,to curb reliance,0,0,US gas deal,on Russian energy https://t.co/2BzhjWU8Wl .,EU signs US gas deal to curb reliance on Russian energy https://t.co/2BzhjWU8Wl
61,"Drummer with US rock group Foo Fighters , Taylor Hawkins ,",dies aged 50,0,0,0,"dies aged 50 , band announces https://t.co/H6bPbfQN9h .","Drummer with US rock group Foo Fighters, Taylor Hawkins, dies aged 50, band announces https://t.co/H6bPbfQN9h"
62,The Wanted star Tom Parker,dies aged 33,0,0,0,dies aged 33 after being diagnosed with terminal brain cancer,"The Wanted star Tom Parker dies aged 33 after being diagnosed with terminal brain cancer
https://t.co/zuyb1Nz1oP"
63,Actor Will Smith,resigns from Oscars Academy after slapping Chris Rock https://t.co/IQscPvsWj5,0,0,0,"is long "" : Actor Will Smith resigns from Oscars","""The list of those I have hurt is long"": Actor Will Smith resigns from Oscars Academy after slapping Chris Rock https://t.co/IQscPvsWj5"
64,Tory MP David Warburton,suspended from the parliamentary party,0,0,0,the parliamentary party pending investigation into allegations about conduct https://t.co/vu6MpUjSes,Tory MP David Warburton suspended from the parliamentary party pending investigation into allegations about conduct https://t.co/vu6MpUjSes
65,0,0,0,0,This,"very tragic situation "" : At least six people dead","""This is a very tragic situation"": At least six people dead after automatic gunfire in busy nightlife area of Sacramento in California

https://t.co/Hml2BOIoNU"
66,Shell,to shut all petrol stations and will stop all spot purchases,0,0,Shell,0,Shell to shut all petrol stations in Russia and will stop all spot purchases of oil from the country https://t.co/jd2zPE1agQ
67,0,0,0,Mariupol,0,"besieged Ukrainian city of Mariupol failed , as reports say","Second attempt to evacuate people trapped in besieged Ukrainian city of Mariupol failed, as reports say ceasefire broken again

https://t.co/DOpa1IkoaN"
68,McDonald ’s,will temporarily close all its restaurants,0,0,0,"will temporarily close all its restaurants in Russia , saying","McDonald’s will temporarily close all its restaurants in Russia, saying it “cannot ignore the needless human suffering unfolding in Ukraine”

https://t.co/1W0TgllgtN"
69,UN,tells BBC,0,0,0,0,"Two million people have now fled Ukraine into neighbouring countries, UN tells BBC

 Live updates here: https://t.co/3DA2qR3J2D"
70,Russian strikes,hit maternity and children 's hospital,0,Mariupol,0,Russian strikes hit maternity and children 's hospital in Ukrainian,"Russian strikes hit maternity and children's hospital in Ukrainian city of Mariupol, officials say https://t.co/0tnc9Y3kYk"
71,0,0,0,0,0,given genetically modified pig heart in world - first surgery,"Man given genetically modified pig heart in world-first surgery dies two months after operation, US hospital says https://t.co/FBTUstXJ46"
72,0,0,0,0,US,bans Russian oil imports as part of international moves against,US bans Russian oil imports as part of international moves against energy sector to punish Moscow for invading Ukraine https://t.co/2TzOZFl7CQ
73,Twitter 's board,agrees to $ 44bn takeover,0,0,0,the social media giant 's potential https://t.co/ObcThxnJlX .,"Twitter's board agrees to $44bn takeover by Elon Musk, who has promised to ""unlock"" the social media giant's potential https://t.co/ObcThxnJlX"
74,EU,unveils plan,0,0,0,all Russian oil imports in major new sanctions package over,"EU unveils plan to ban all Russian oil imports in major new sanctions package over Moscow's war in Ukraine

Follow latest here https://t.co/Z9eEeqsJlN"
75,Ketanji Brown Jackson,to become first black female justice,0,0,0,first black female justice in the 233 - year history,"Ketanji Brown Jackson to become first black female justice in the 233-year history of US Supreme Court after Senate confirmation 

https://t.co/SIWmPuFwfo"
76,Russia,suspended from UN Human Rights Council https://t.co/BdI7X8up20,0,0,Russia,0,Russia suspended from UN Human Rights Council https://t.co/BdI7X8up20
77,MI5 agent,alleged to have exploited his status,0,0,MI5 agent,0,"MI5 agent alleged to have exploited his status to abuse a partner cannot be named by the BBC, High Court rules https://t.co/NCuZGPFNAt"
78,a huge asteroid,collided with the Earth https://t.co/7d4T7tMCid,the very day,Earth,0,a huge asteroid collided with the Earth https://t.co/7d4T7tMCid .,Scientists may have found the first fossil remains of a dinosaur that died on the very day a huge asteroid collided with the Earth https://t.co/7d4T7tMCid
79,Ed Sheeran,wins High Court copyright battle,0,0,Ed Sheeran,0,Ed Sheeran wins High Court copyright battle over 2017 hit Shape of You https://t.co/nvXkG9coxb
80,Tesla boss Elon Musk,buys 9.2 Percent stake,0,0,0,Twitter worth almost $ 3bn https://t.co/A6dkPkBo5l .,Tesla boss Elon Musk buys 9.2 Percent stake in Twitter worth almost $3bn https://t.co/A6dkPkBo5l
81,Lam,held on as Hong Kong 's through mass protests,0,0,She,through mass protests .,"She held on as Hong Kong's leader through mass protests. Now, Carrie Lam says she won't seek a second term in power https://t.co/hlnmE83Yy1"
82,0,0,0,0,It,"the abundant renewable energy "" UN Secretary General Antonio Guterres","""It's time to stop burning our planet and start investing in the abundant renewable energy""

UN Secretary General Antonio Guterres says ""leaders must lead"" but also urges people to ""demand that renewable energy is introduced now at speed and at scale""
https://t.co/4Pl8HEFbF1 https://t.co/VOGdCyptVB"
83,we,make drastic changes,0,0,we,"or never "" to avoid disastrous climate change - but","UN says it's ""now or never"" to avoid disastrous climate change - but we can do it if we make drastic changes to how we live

https://t.co/bQwOSsYUYk"
84,0,0,June,0,0,Legendary EastEnders actress June Brown https://t.co/3KwTYvJaAv .,Obituary: Legendary EastEnders actress June Brown https://t.co/3KwTYvJaAv
85,0,0,June,0,0,dies aged 95 https://t.co/OJtze66Cr1 .,"June Brown, who played Dot Cotton on BBC soap EastEnders for more than 30 years, dies aged 95 https://t.co/OJtze66Cr1"
86,"BBC witnesses more evidence of atrocities against civilians near Kyiv , as Ukraine",accuses Russia of genocide https://t.co/GN1rzN0b5c,0,Kyiv,0,Ukraine accuses Russia of genocide https://t.co/GN1rzN0b5c,"BBC witnesses more evidence of atrocities against civilians near Kyiv, as Ukraine accuses Russia of genocide https://t.co/GN1rzN0b5c"
87,Moskva,has sunk,0,0,it,"Russian warship Moskva has sunk , state media says ,","Russian warship Moskva has sunk, state media says, a day after it was reported damaged by fire or a Ukrainian missile strike
https://t.co/MEzEbijkrC"
88,Ukraine 's President Zelensky,tells BBC,0,0,0,"for Russian oil , Ukraine 's President Zelensky tells BBC","Blood money being paid for Russian oil, Ukraine's President Zelensky tells BBC

https://t.co/WFIJNARXHt"
89,Boris Johnson,announces https://t.co/YeJwtYvB43,0,0,Some UK asylum seekers,miles away to Rwanda and military to take control of,"Some UK asylum seekers to be sent 4,000 miles away to Rwanda and military to take control of patrolling Channel, PM Boris Johnson announces
https://t.co/YeJwtYvB43"
90,0,0,0,0,0,in rush hour attack at New York City subway station,Police arrest man suspected of shooting 10 commuters in rush hour attack at New York City subway station https://t.co/0O86HPN0Gk
91,0,0,0,0,Ali Harbi Ali,IS fanatic Ali Harbi Ali given whole - life jail,IS fanatic Ali Harbi Ali given whole-life jail sentence for murdering UK MP Sir David Amess https://t.co/yMYBGJGmF8
92,UK Prime Minister Boris Johnson and Chancellor Rishi Sunak,will be fined over Downing Street,0,0,0,0,UK Prime Minister Boris Johnson and Chancellor Rishi Sunak will be fined over Downing Street lockdown parties https://t.co/gTBBsa0bQw
93,DJ Tim Westwood,steps down from Capital Xtra,0,0,DJ Tim Westwood,following sexual misconduct claims https://t.co/dU5T6ZhI56 .,"DJ Tim Westwood steps down from Capital Xtra show following sexual misconduct claims
https://t.co/dU5T6ZhI56"
94,Emmanuel Macron,"set for clear victory in France ’s , beating far right candidate Marine Le Pen",0,0,0,"for clear victory in France ’s presidential election , beating","Emmanuel Macron set for clear victory in France’s presidential election, beating far right candidate Marine Le Pen, projections show https://t.co/eT5ZLZRguL"
95,0,0,0,0,0,"unlawful "" , High Court judges rule https://t.co/WGs14LNBqW .","Government policies of discharging patients from hospital to care homes in England at start of pandemic were ""unlawful"", High Court judges rule https://t.co/WGs14LNBqW"
96,Parish,'s resigning as an MP after admitting he,0,0,he,pornography twice in the House of Commons https://t.co/gz7CGh721v .,"Neil Parish says he's resigning as an MP after admitting he watched pornography twice in the House of Commons 

https://t.co/gz7CGh721v"
97,BBC,told https://t.co/gnEDqFemXz,0,0,0,"Conservative MP Neil Parish , who is being investigated for","Conservative MP Neil Parish, who is being investigated for allegedly watching pornography in the House of Commons, expected to resign - BBC told

https://t.co/gnEDqFemXz"
98,British - born Islamic State militant Alexanda Kotey,sentenced to life in Syria,0,0,British - born Islamic State militant Alexanda Kotey,British - born Islamic State militant Alexanda Kotey sentenced to,British-born Islamic State militant Alexanda Kotey sentenced to life over murders of American hostages in Syria https://t.co/jG7FdBIofT
99,Former Wimbledon champion Boris Becker,jailed for two and half years for hiding assets,0,0,0,Former Wimbledon champion Boris Becker jailed for two and half,"Former Wimbledon champion Boris Becker jailed for two and half years for hiding assets to avoid paying debts

https://t.co/afBKGESjAx"
