,who,text
39,Ministers,🔴 Ministers recently announced that the  pills by post  system will be dismantled in England by September - but on Wednesday night peers voted against the Government plan
40,0,📰 Here is your Thursday evening news briefing 👇
41,The Duke and Duchess of Cambridge,👑The Duke and Duchess of Cambridge have begun their St Patrick’s Day celebrations as they visit the Irish Guards to present sprigs of shamrock
42,It ’s just not going to happen that way |,"✍️ The reality is that the scale of tightening required to return inflation to target would bring the economy to its knees. It’s just not going to happen that way  | Writes 
@tomstevenson63"
43,0,What should you do if you have a booking with P&amp;O Ferries?
44,0,🔴HM Revenue &amp; Customs has contacted fewer than 1pc of British cryptocurrency investors about potentially owing thousands of pounds in tax
45,0,Here is the Ukraine-Russia morning briefing👇
46,These places,These places are the sweetspots between rural and urban lifestyles
47,Moscow,Finance minister says Moscow has the funds and  ball is in the court  of US authorities
48,Anoosheh Ashoori step off the plane at RAF Brize Norton,📸 Nazanin Zaghari-Ratcliffe and Anoosheh Ashoori step off the plane at RAF Brize Norton
49,family,"🔴 Reacting to the news of his release on Wednesday, Mr Ashoori’s family said:  Now, we can look forward to rebuilding those same foundations with our cornerstone back in place"
50,Ownership of a company,"🔵 Ownership of a company linked to Roman Abramovich in the British Virgin Islands was transferred to a close business associate hours after Russian invaded Ukraine, it has emerged"
51,0,🇺🇦🇷🇺 Here is your Ukraine-Russia evening briefing ⬇️
52,Saharan dust,"Saharan dust has swept across southern England as residents awoke to orange skies on Wednesday.

Sand whipped up by winds in the desert has been blown across Europe 👇"
53,Russian troops from the east and the Pacific fleet,"🔴 Russian Pacific fleet.

Russian troops from the east and the Pacific fleet are  based in Vladivostok on Russia’s Asian coast.

However, they are expected to take around 10 days to get into position near Ukraine"
54,Putin ’s mind,Sanctioning oligarchs is a sideshow. Nothing short of targeting Russia’s largest exports will focus Putin’s mind  | Writes Stephen Platt
55,she,"Why does it have to be my mummy, and when is she coming back?  

Nazanin Zaghari-Ratcliffes six-year ordeal, told by @JoeShute 👇"
56,Nazanin Zaghari - Ratcliffe,"🔴 Nazanin Zaghari-Ratcliffe is on a plane back to the UK to be  reunited with her family  after the Government handed over almost £400 million owed to the Iranian Government, Liz Truss has announced"
57,The refugee minister,🔴The refugee minister has told MPs he expects  thousands of people  to arrive in the UK next week under the Homes for Ukraine sponsorship scheme
58,0,👔Suits will make a comeback sooner than you think
59,motorist,🔴Drone footage appears to show a civilian motorist being shot by Russian soldiers just outside Kyiv after he got out of his car and put his hands up
60,Pregnant women,"🤰Pregnant women will not have their alcohol intake recorded on their childs medical records, as a health watchdog dropped the plans following a backlash"
61,Sir Paul McCartney,🎂Sir Paul McCartney is reportedly being considered for a peerage this summer to mark his 80th birthday
62,"Vitali and his lookalike younger brother , Wladimir ,","For a decade, Vitali and his lookalike younger brother, Wladimir, dominated heavyweight boxing.

Now, they are defending their country against Russian forces 👇"
63,Nazanin Zaghari - Ratcliffe,🚨 BREAKING: Nazanin Zaghari-Ratcliffe leaving Iran
64,0,🚨BREAKING: UK to deploy Sky Sabre missile system to Poland with 100 troops
65,📸 Nazanin,"📸Nazanin holding her daughter Gabriella, next to husband Richard, with Anoosheh Ashoori and his family"
66,A source close to Nazanin Zaghari - Ratcliffes family,🚨A source close to Nazanin Zaghari-Ratcliffes family have told Reuters that both she and Anousheh Ashouri​ have left Iran
67,the UK Space Agency,"🌌 The first signs of alien life could be discovered in a British lab, after the UK Space Agency announced funding to design an ultra-secure containment facility for extra-terrestrial samples"
68,A BBC sitcom actor and his wife,"👶 A BBC sitcom actor and his wife were told they would never be parents.

Now, they have had a baby after one of their NHS nurses offered to act as a surrogate"
69,RTL,"📺 German broadcaster RTL has hired a Ukrainian presenter, Karolina Ashion, to host a daily news show for others who have fled their homeland after the Russian invasion.

Ms Ashion only made it to Germany a week ago herself, having fled Kyiv"
70,0,"➡️Three Russian cosmonauts arrived at the International Space Station on Friday wearing yellow flight suits with blue accents, colours that appeared to match the Ukrainian flag"
71,0,Heres your Russia-Ukraine morning briefing ⤵️
72,0,💤💤💤
73,Your,Your 5am headlines from The Telegraphs news team
74,it,🇺🇦 Ukraines interior minister said Friday that it will take years to defuse unexploded ordnances after the Russian invasion.
75,0,Here is your Friday evening news briefing 👇
76,Waugh,"Its 50 percent 

Alex Waugh, director of industry trade body UK Flour Millers, says:

🗣️One of our members called me this week and said he paid £360 a tonne for bread wheat, which at the start of the season in September, immediately after harvest, would have been £210"
77,"The Klitschkos v the Kremlin.⁠ ⁠ For a decade , Vitali and his lookalike younger brother , Wladimir ,","🥊 The Klitschkos v the Kremlin.⁠
⁠
For a decade, Vitali and his lookalike younger brother, Wladimir, dominated heavyweight boxing.⁠
⁠
Now, they are defending their country against Russian forces⁠"
78,Douglas Ross,"🏴󠁧󠁢󠁳󠁣󠁴󠁿 SNP  secrecy  over how Nicola Sturgeons ministers spend taxpayers money is holding back Scotland, Douglas Ross has said"
79,Over two million refugees,"Over two million refugees have entered Poland from Ukraine, the countrys boarder guard has said

📷 @SimonTownsley"
80,us,@tomcary_tel takes us through what we learned from the opening race of the Formula 1 season 👇
81,Tune into our daily Ukraine Twitter Space at 1 pm Today @djknowles22,"🎙️Tune into our daily Ukraine Twitter Space at 1pm

Today @djknowles22 is joined by @venetiarainey and @DomNicholls 

Set a reminder here ⤵️"
82,0,Your Ukraine-Russia lunchtime briefing ⤵️
83,the England players,"🏉 With the Six Nations campaign now over, Will Greenwood runs the rule over how the England players fared this campaign 👇"
84,Chinese newspaper The Peoples Daily,🔴 Chinese newspaper The Peoples Daily quoted a provincial firefighting department official as saying there was no sign of life among the scattered debris.
85,Harry de Quetteville,Harry de Quetteville goes inside the private clinic with views Buckingham Palace which could Americanise our health system 👇
86,Sajid Javid,"🇺🇦🇬🇧 Some 9,500 visas have been issued to refugees under the Ukraine Family Scheme, Sajid Javid has said.

The Health Secretary told LBC he expects that  hundreds of thousands of Ukrainians will arrive here in the UK"
87,Boris Johnson,Boris Johnson has asked officials to  look into  Ukrainian refugees staying at ministerial grace-and-favour homes
88,Government,🔴 Kemi Badenochs comments come day after Government announced it had adopted almost all recommendations in Sewell Report
89,the Duchess of Cornwall,"👑 With the Prince of Wales and Camilla, the Duchess of Cornwall, leading the way at Westminster Abbey – and the Duke and Duchess of Cambridge following in crowd-pleasing pursuit – the monarchy is having to respond rapidly to concerns over the Queen’s mobility"
90,he,Chancellor counters speculation as he prepares to give his Spring Statement this week
91,0,"🔴 A total of 7,295 people were evacuated from Ukrainian cities through humanitarian corridors today, Ukraines Deputy Prime Minister Iryna Vereshchuk said"
92,the Kremlin ’s,⚡Putin’s gambit – decoding the Kremlin’s next move
93,Mélenchon,"🔴 Jean-Luc Mélenchon said during a rally that Emmanual Macron had ushered in authoritarianism’, as he creeps up in the polls"
94,Kate Middleton,💎 Kate Middleton chose to wear the same jewellery she wore when meeting President Zelensky in 2020
95,Actors,🎬 Actors were reduced to smooching the back of their hands while recording the radio soap in make-shift home studios during lockdown
96,she,🗣 Pulitzer prize-winning author says she is astonished’ at how the issue of appropriation has taken hold of the industry
97,0,"🍽 Nicknamed human fuel, Huels meal replacement powder is set to become a billion-pound business. But would you try the food of the future?"
98,0,"🔴Fighting between Ukrainian and Russian forces is going on inside the eastern port city of Mariupol, regional governor Pavlo Kyrylenko has said"
99,0,📸Mariupol in ruins
100,Germany,🔴Germany meets with Qatar to wean itself off Russian gas
101,World leaders,🔴World leaders are making similar sweeping overhauls in the running of their economies
102,0,"✖️ The war risks decimating Russias oil and gas industry, which accounts for 15pc of the county’s economic output, over a third of government revenue and around half of exports"
103,They,"They don’t have political power, but they have a lot of moral authority"
104,0,"🗣️ We shall also be increasing supplies of rations, medical equipment, and other non-lethal military aid,  Ben Wallace said.

Read the full story 👇"
105,🇺🇦 Ukrainian President Volodymyr Zelensky,"🇺🇦 Ukrainian President Volodymyr Zelensky has echoed Winston Churchill in an historic address to MPs and peers, vowing to fight Russia  in the forests, in the fields, on the shores and on the streets"
106,mothers,Hopes are growing that the mobilisation of Russian mothers unwilling to watch their sons dispatched to their deaths could alter the course of this terrible war
107,A captured Russian soldier,🇷🇺A captured Russian soldier has said he realised he was on the wrong side in the Ukraine war when he saw his favourite boxers taking up arms against the invaders
108,the Defence Secretary,"🚨Britain is set to send the world’s most advanced anti-aircraft missile system to Ukraine, the Defence Secretary has announced.

Designed to destroy fighter jets and helicopters, Starstreak is the fastest short-range surface-to-air missile developed 🧵👇"
109,Boris Johnson,🔴Boris Johnson is issuing a plea to world leaders today to match their words on Ukraine with action as he sets out a six-point plan for tackling the crisis
110,footage,"Video footage of captured Russian soldiers being interrogated has shown that most were conscripts and had no idea they were being launched into a full-scale war.

Instead, they thought that they were going on another military exercise, which has caused outrage"
111,0,"🚨BREAKING: Children are under rubble after Russian air strike on a Mariupol hospital, the countrys president Volodymyr Zelensky has said"
112,Russia,"🔴Russia stated it would hold fire and open humanitarian corridors in several Ukrainian cities including the capital Kyiv at 10am Moscow time today

Follow for live updates throughout the day👇"
113,Ben Wallace on Wednesday,"🔴Ben Wallace on Wednesday told MPs he is looking at providing the Starstreak High-Velocity Missile systems to the Ukrainians, stepping up the UK’s military assistance to Kyiv"
114,The system,"The system relies on its immense speed to defeat aircraft manoeuvring around a battlefield.

Military officials hope the missile will help Ukraine gain control of the skies and further erode Russia’s fighter jet and helicopter fleets"
115,A Ukrainian man,🇺🇦 A Ukrainian man whose car was crushed by a Russian tank on the outskirts of Kyiv has vowed to join the army to defend his country once he leaves hospital
116,Russia,"🇷🇺Russia has admitted for the first time that it has sent conscripts to fight in Ukraine, as defence analysts said the military was  struggling to assemble  a large enough force to capture Kyiv"
117,A group of young British fighters,A group of young British fighters arrived in Ukraine to help defend it against the Russian invasion and declared:  Hopefully well win
118,Ireland,"🇮🇪Ireland could drop its policy of military neutrality after almost a century because of anger over Russia’s invasion of Ukraine, it was claimed on Monday"
119,Britain,⚡️ Britain to send worlds most advanced anti-aircraft missile system to Ukraine
120,0,"🇺🇦 A Ukrainian military band play Dont Worry, Be Happy during a concert held for the residents next to the fortifications of the Odessa Opera and Ballet Theatre

Follow live updates from Ukraine here ⬇️"
121,"Women , children and medics","🚨BREAKING: A childrens hospital has been destroyed by Russian air strikes in the besieged Ukrainian city of Mariupol.

Women, children and medics were said to be trapped under the rubble following what was described as a  direct strike  on the building"
122,The Ukrainian military,🚨The Ukrainian military appears to have severely damaged one of the two warships that attacked Snake Island
123,NEW : Poland,"🔴NEW: Poland is ready to deploy all its MIG-29 jets to Rammstein Air Base in Germany and put them at the disposal of the United States.

Poland urges other NATO members that own planes of that type to do the same"
124,The Queen,"👑 The Queen has held her first in-person engagement since catching Covid, dispensing with her walking stick to greet Canadian Prime Minister Justin Trudeau
⁠
⁠"
125,over a week into warfare and companies,"However, over a week into warfare and companies are already shunning the supply, attempting to find alternative sources that won’t be caught in the crossfire.

🇪🇺 Leaked documents have suggested the EU is readying a blue-print for shifting the balance of its energy supply"
126,the full report,🔎Read the full report here 👇
127,Putin,"🇷🇺It is no coincidence that yesterday, on International Women’s Day, Putin directly addressed the mothers of soldiers"
128,Zelensky : We,"🇺🇦Zelensky:  We are thankful for this help. And I am very grateful to you, Boris. Please increase the pressure of sanctions against this country, and please recognise this country as a terrorist state 

 Best of all to Ukraine and to the United Kingdom"
129,Volodymyr Zelensky,"Volodymyr Zelensky has repeated requests to the international community to provide Ukraine with military aircraft and to boycott Russian oil, oil products and other exports"
130,0,🇺🇦Ukraine’s women are showing the world what real bravery looks like
131,Britain,"🚨Britain will send the world’s most advanced anti-aircraft missile system to Ukraine.

Ben Wallace told Parliament Britain will supply Starstreak High-Velocity Missile systems to bolster the fight against Russia"
132,Germany,🇩🇪Germany has ruled out a boycott of Russian gas and oil as it would leave millions of homes across the country without heating
133,"Sergey Tsivilev , governor of the Kuzbass region in Siberia ,","🔴In the video, Sergey Tsivilev, governor of the Kuzbass region in Siberia, stood forlornly on a stage in a school gym as angry soldiers mothers accused the Kremlin of lying"
134,Vladimir Putin,"💸 How Vladimir Putin blundered into his biggest economic mistake. 

As Europe races to turn off the taps, Russia faces ruin’ - What is the price Russia will pay for their invasion?

🧵Thread"
135,Russian economy expert at the Royal United Services Institute,"According to Richard Connolly, Russian economy expert at the Royal United Services Institute there has been a  lot of talk about the need to diversify and modernise .

❓Despite such dependence and the threat of renewables, they have made little effort to diversify its economy..."
136,The Duke and Duchess of Cambridge on Wednesday,"The Duke and Duchess of Cambridge on Wednesday showed their support for the people of Ukraine, as they tried to convey their horror at watching war unfold"
137,0,"🔴 A Russian priest has been arrested over a Sunday sermon that condemned the Kremlin’s war against Ukraine, and now faces charges of  discrediting  the Russian army"
138,Kyiv mayor Vitali Klitschko,📸 Pictured: Kyiv mayor Vitali Klitschko congratulates a couple in the Ukrainian territorial defence force celebrating their wedding in Kyiv
139,"4,500 people protesting against the invasion","🔴In Moscow on Sunday, police wielding truncheons and electric rods detained 4,500 people protesting against the invasion, despite the threat of a 15-year jail sentence"
140,Moscow,"🔴 NEW: Moscow threatens to cut off Wests gas supplies through Nord Stream 1

Follow all the latest updates on our liveblog here👇"
141,Terrified civilians,🔴Terrified civilians run for their lives as rocket attacks target bridge they were sheltering under
142,The soldiers ’ mothers,"🗣️ The soldiers’ mothers are one of the few bastions of civil society in Russia, and they tend to atrophy and then regalvanise every time there’s a war,  says Prof Mark Galeotti, an expert in Russian security affairs at University College London"
143,more of this report by @jkjourno,Read more of this report by @jkjourno here 👇
144,Germany,"🇩🇪Germany has ruled out a boycott of Russian gas and oil as it would leave millions of homes across the country without heating.

The move is a blow to US and British efforts to press for sanctions to be extended to Russia’s lucrative oil and gas exports"
145,Polands prime minister,"🔴Any decision to give fighter jets to Ukraine must be taken jointly by all Nato countries, Polands prime minister has said"
146,We,"🔴 We will not forgive, we will not forget, we will punish everyone who committed atrocities in this war on our land.
 There will be no quiet place on this Earth except the grave.  - Volodymyr Zelensky

Follow our live blog for the latest updates ⬇️"
147,the flow of Russian oil and gas to Europe,"📅 While Russia could find new buyers for oil and gas, it again faces a race against time...

According to Jack Sharples, research fellow at the Oxford Institute for Energy Studies:  If the flow of Russian oil and gas to Europe were halted, it would be devastating"
148,those problems,"By forcing Europe’s hand, those problems will hit sooner and harder than many feared.

Read the Tom Rees full analysis here 👇"
149,We,"We will not give up and we will not lose,  President Zelensky has told the House of Commons.

 We are looking for your help, for the help of the civilised countries"
150,The missile,"➡️The missile uses three dart-like projectiles allowing multiple hits on the target. 

It can be fired from the shoulder, from a lightweight multiple launcher or from armoured vehicles"
151,Volodymyr Zelensky,"🇺🇦Volodymyr Zelensky channelled Winston Churchill as he gave a historic virtual address to MPs and peers.
⁠
President Zelensky said:  We will fight in the forests, in the fields, on the shores, in the streets ⁠"
152,0,🔴A new law means a potential 15-year jail sentence if an anti-war activist is convicted of spreading information about Russias invasion of Ukraine that deviates from Putins narrative
153,The Ministry of Defence,"🔴The Ministry of Defence has said service personnel are banned from travelling to Ukraine amid reports British soldiers have gone absent without leave to fight Russia.

Keep up with the latest updates here 👇"
154,Volodymyr Zelenskys wife,"🔴 Volodymyr Zelenskys wife has condemned the Kremlin for the  mass murder  of children.

In a passionate open letter to the world’s media, Olena Zelenska said that Russias invasion of Ukraine  was impossible to believe"
155,Chernobyl,🚨 BREAKING: Radioactive substances could be released from Ukraines Chernobyl nuclear power plant after its power connection was severed
156,0,MoD says service personnel are banned from travelling to fight Russia after reports of missing soldiers
157,The first real rumblings in the 1980s of dissent against the Soviet invasion of Afghanistan,"🔴Soldiers mothers hold an important status in Russian society. 

The first real rumblings in the 1980s of dissent against the Soviet invasion of Afghanistan came from soldiers mothers and it steamrolled into a powerful force"
158,"The Soldiers ’ Mothers Committee , Russia ’s best - known advocacy group for servicemen ’s rights ,","The Soldiers’ Mothers Committee, Russia’s best-known advocacy group for servicemen’s rights, was first set up in 1989.

In the past week, the committee spoke openly of the  sea of tears  which has resulted from the invasion of Ukraine"
159,Russia,"⚠️There can be no breakthrough in peace talks until Russia stops firing on civilians trying to flee through humanitarian corridors, Ukraine’s chief negotiator has warned"
160,angry Russian mothers,"On Monday, angry Russian mothers accused him of deploying their sons as  cannon fodder  in his invasion of Ukraine"
161,Putin,"In just days, Putin has inadvertently engineered a tectonic shift in European energy policy, moving at a faster pace than expected. 

💭 Leaders across Europe are now thinking: Russia is no longer a dependable supplier of energy’"
162,Russia,"🌍 As the world’s third-biggest oil producer and second-largest in gas, Russia has become a particularly vital source in Europe. 

Russia is also a major supplier of oil and coal to Europe - around 27pc and 47pc of imports, respectively"
163,Putin ’s illegal aggression against Ukraine,"🗣️  Putin’s illegal aggression against Ukraine is rapidly moving Russia into pariah state territory – no European nations want to rely on for energy imports any longer,  says Benjamin Schmitt, the US governments former European energy security adviser"
164,Starstreak,"🇺🇦Following requests for further help from Ukrainian President Volodymyr Zelensky...

...Ben Wallace said providing Starstreak will  allow the Ukrainian forces to better defend their skies"
165,Chinese President Xi Jinping,"🔴Chinese President Xi Jinping has urged  maximum restraint  over Ukraine, calling the crisis  deeply worrying  in a video summit with his French and German counterparts Emmanuel Macron and Olaf Scholz"
166,the sole group with the moral authority,"🔴As the sole group with the moral authority to challenge Vladimir Putin, it is their voices that are shaking the Motherland.
 
Here’s how Russian mothers could change the course of the war 🧵👇"
167,President Volodymyr Zelensky,"🗣️ President Volodymyr Zelensky is standing firm for democracy and freedom,  Boris Johnson says.

 In his righteous defence I believe he has moved the hearts of everybody in this House. One of the proudest boasts in the free world is I am a Ukrainian"
168,Russia,"🇷🇺Russia cannot sustain its current air losses for any more than a fortnight after at least nine aircraft were shot down in just 24 hours, analysts have said"
169,Desperate Russian mothers and wives,Desperate Russian mothers and wives can be heard begging for information about their  lost  sons and husbands in messages to a Ukrainian government-run hotline
170,I,"I can tell you something about Odesa. We will fight until the end to protect every street and corner of the city. 

🇺🇦 As Moscow has Ukraine’s third-largest city in its sights, Gennadiy Trukhanov and his citizens are ready to resist Putin’s troops"
171,the sole group with the moral authority,"🔴 As the sole group with the moral authority to challenge Vladimir Putin, it is their voices raised in horror that are shaking the Motherland"
172,Boris Johnson,🔴Boris Johnson is facing calls to intervene to urge Saudi Arabia to release more oil after the country’s Crown Prince refused to take a call from US President Joe Biden
173,0,"🔴Riot police chased the mainly young protesters through streets, pinning them down and detaining them"
174,The US and Estonia,"➡️The US and Estonia have already been supplying Kyiv with the infrared-guided anti-tank munitions. 

Ukraine has been sent a variety of arms that target tanks by the West, including Panzerfaust 3 anti-tank weapons from the Netherlands, and AT4 anti-missile launchers from Sweden"
175,London,"🇬🇧In another sign that London is stepping up the level of support it is prepared to give, he announced that Britain is about to dispatch a  small consignment  of Javelin missiles to Ukraine"
176,Volodymyr Zelensky,🇪🇺France has suggested that Ukraine could be granted a bespoke form of EU membership after Volodymyr Zelensky applied to join the bloc
177,Barbaric Putin rains,"📰 The front page of tomorrows Daily Telegraph:

Barbaric Putin rains down terror



Sign up for the Front Page newsletter"
178,Sir Tony Blair,"🔴 Sir Tony Blair has admitted for the first time that he  may have been wrong  over the Iraq war.

The former Prime Minister discussed his decision to involve British troops in the conflict during a conversation with the Archbishop of Canterbury"
179,thousands of Russians,"In Russia, protests that do not receive official permission are illegal and thousands of Russians have been detained since the start of the war on February 24th"
180,woman,"🇷🇺 In St Petersburg, several policemen were filmed electrocuting a woman with electric rods as she lay on the ground screaming"
181,The nature of the threat to the UK from foreign states,"Priti Patel:  The nature of the threat to the UK from foreign states may change, but it is ever-present. Over recent years, it has become even more sophisticated and varied."
182,the BBC,The National Audit Office says the BBC employs too many people who do the same thing and that there are still opportunities to make savings
183,The Catholic Bishops ’ Conference of England and Wales,"The Catholic Bishops’ Conference of England and Wales told worshippers to return to Mass for Pentecost, the first Sunday in Jun"
184,"The Scottish Government - backed survey of 130,000 patients","The Scottish Government-backed survey of 130,000 patients revealed that 67 per cent said they had a positive experience of care provided by their GP practice"
185,Russian attacks,🔴The final few defenders at the besieged Azovstal plant have said Russian attacks have intensified
186,Opening of Parliament,✍️ Opening of Parliament shows theres more to the state than Boris v Keir and more to British history than what we can remember from last week  |Writes @timothy_stanley
187,0,🎾Row over banning players escalates as governing body could reduce the biggest Grand Slam to the status of an exhibition tournament
188,0,🔴Announcement by TUI could see holidaymakers having to splash out on expensive airport food thanks to baggage rules
189,the Queen ’s Speech,"🔴The Legacy Bill, unveiled in the Queen’s Speech, set to bring an end to prosecution of retired soldiers over deaths during the conflict"
190,The cyber attack,"🔵The cyber attack shut down 5,800 German wind turbines ahead of the Ukraine invasion"
191,podcaster,The money poured in less than 24 hours after the podcaster said she had started hospice care at home for her stage-four bowel cancer
192,Secretary,"🔴Brussels making impasse worse, says Foreign Secretary as she prepares to make unilateral changes to the Northern Ireland Protocol

🔓 This front page story is currently free to read 👇"
193,Sir Keir Starmer,🔴 Sir Keir Starmer intends to dodge resignation on a technicality if he broke Covid rules but is not fined
194,Prof Irene Tracey,Prof Irene Tracey has praised her  terrific  comprehensive school following the announcement of her nomination for the most powerful position at one of the UK’s preeminent universities
195,Markle,"Joe Biden’s sister, Valerie Biden Owens, has invited Meghan Markle to join the Democratic party, saying she would make a  good presidential candidate"
196,airline,"🔴The boss of Emirates has defended the airline’s decision to continue flying to Russia, insisting that it is  doing a job  by  connecting people"
197,38 pieces of legislation,"🔴While 38 pieces of legislation made their way into Tuesday’s Queen’s Speech, there were several notable absences"
198,Vladimir Putin,"🔴Vladimir Putin is counting on a weakening of the West’s resolve as the cost of living crisis bites while he pursues a protracted war in Ukraine, Washington’s top spy chief warned"
199,Firm in face of EU trade war threat,"📰The front page of tomorrows Daily Telegraph:

Truss stands Firm in face of EU trade war threat



Sign up for the Front Page newsletter"
200,0,🔴New figures show the number of operations on children to remove rotten teeth fell by 58 per cent in 2020/21 as hospitals concentrated on Covid pressures
201,Putin,"✍️ As Putin doubles down on his war rhetoric, the reality is that the West has a once-in-a–generation chance to severely weaken Russia’s capabilities, both militarily and geopolitically  |Writes @general_ben

Read more 👇"
202,"The mass grave , which contains 82 skeletons ,","The mass grave, which contains 82 skeletons, was found by chance in the town of Vianen in November 2020.

The soldiers buried there are believed to have died during the Flanders Campaign of 1793-1795"
203,immunity,"🔴Swine flu - or H1N1 influenza - may be descended from the deadly 1918 Spanish flu strain, meaning many people were already carrying some protective immunity when it arrived"
204,Vladimir Putin,"🔴Vladimir Putin is counting on a weakening of the West’s resolve as the cost of living crisis bites while he pursues a protracted war in Ukraine, Washington’s top spy chief warned.

Read more 👇"
205,A campaign for quicker access to mental healthcare,"🔴A campaign for quicker access to mental healthcare has been backed by the Chancellor, as pilot schemes found it dramatically cut hospital pressures"
206,the port city,"🔴Following a lull in ground attacks, the port city came under siege from Moscow’s missiles as a flotilla threatens to disrupt grain exports"
207,Dr Tedros Adhanom Ghebreyesus,"🔴In a rare public criticism of an individual government’s handling of the Covid-19, Dr Tedros Adhanom Ghebreyesus suggested it is  very important  that China shifts away from a zero-tolerance approach"
208,0,🔴A landlord who forced a tenant to wear a bikini at all times has become the first person to be convicted for  sex for rent  offences in England and Wales
