,who,text
259,The Cryptoqueen 's £ 13.5 m London penthouse,Revealed: The Cryptoqueen's £13.5m London penthouse
260,0,Glenn Youngkin: Republican seizes lead in Virginia governor race
261,0,Why Gambians cannot sell their solar power
262,Facebook,Facebook to end use of facial recognition software
263,0,Job-seekers turn to TikTok to post 'CareerTok' CVs
264,China,US President Joe Biden says China walked away from climate talks - adding it was the same thing with Russia and Putin
265,South Africa,"South Africa to receive $8.5bn (£6.2bn) to end reliance on coal, in deal announced at COP26 climate summit"
266,Leonardo DiCaprio,Leonardo DiCaprio brings star power to Glasgow for COP26
267,Carole Baskin,Carole Baskin sues Netflix over unagreed footage in trailer for Tiger King 2
268,Tesla,Elon Musk says Tesla has not signed deal with Hertz
269,Cocoa farmers,Cocoa farmers should receive a fairer price for their products as a result of the deal made at the COP26 climate conference
270,India,Can India meet its climate change targets?
271,President Biden,Was President Biden asleep or just resting his eyes at the COP26 climate summit?
272,the outcome,Five dealmakers who will influence the outcome at COP26
273,the COP26 climate summit,What the COP26 climate summit means for one woman in Bangladesh
274,Biden,Was Biden asleep or just resting his eyes at COP26?
275,Sir David Attenborough,Sir David Attenborough tells leaders the world is looking to you
276,the BBC Global Climate Debate,Watch the BBC Global Climate Debate on @BBCiPlayer now
277,we,"“How can we wean the world off coal?”

BBC Global Climate Debate panellists respond to a question from Sydney, Australia"
278,camp on UN 's doorstep,Thousands of migrants and refugees camp on UN's doorstep
279,Chinese version of Fortnite,Chinese version of Fortnite to close
280,0,Covid-19 deaths pass five million worldwide
281,Australia 's lesser - known sacred rock,"Protecting Australia's lesser-known sacred rock, Mount Augustus"
282,0,The pumpkins taking a dive this Halloween
283,' Vax ','Vax' declared Oxford English Dictionary's word of the year
284,Thailand,Thailand reopens to vaccinated tourists from over 60 nations
285,Australia 's,"Preserving Mount Augustus, Australia's lesser-known sacred rock"
286,0,COP26: UK PM Boris Johnson says 'no excuses' for not tackling climate change
287,Russia and China ' did n't show up ' on climate,Biden: Russia and China 'didn't show up' on climate
288,Australia 's,Preserving Australia's lesser-known sacred rock
289,Sufi music,The women reviving a vanishing legacy of Sufi music in Kashmir
290,Man,Man dies during bull-running event in Spanish city of Onda
291,0,Tiny pumpkins a smash hit for glassmaker
292,0,The white student braving racial politics in South Africa
293,the Taliban takeover,How the Taliban takeover changed my life
294,it,Facebook's metamorphosis - will it work?
295,Prince Andrew,Prince Andrew asks US court to dismiss case
296,Kenya 's,How lifting Kenya's Covid curfew may push revellers to get jabbed
297,African climate activists ' message,African climate activists' message to world leaders
298,Mary Lou McDonald to address ard fheis in Dublin,Sinn Féin: Mary Lou McDonald to address ard fheis in Dublin
299,Virgin births,Virgin births discovered in critically endangered California condors
300,The moment Facebook,The moment Facebook became Meta
301,US President Joe Biden,US President Joe Biden arrives at the Vatican ahead of meeting with Pope Francis
302,Biden,Biden lands in Europe with domestic spending plans in limbo
303,Arnold Schwarzenegger,"Let's terminate pollution

Former Californian governor, Arnold Schwarzenegger speaks to the BBC about Climate change"
304,UK 's,All countries to be removed from UK's travel red list
305,UK summons,UK summons French ambassador amid post-Brexit fishing rights row
306,0,"'Lorry driving is for anyone'

A 22-year-old HGV driver has turned to TikTok to show people it can be a career for anyone"
307,Indonesia,Indonesia calls for vaccine equity after Covid toll
308,0,Sample of hair belonging to 19th century Native American leader Sitting Bull confirms South Dakota man is his great-grandson
309,0,Chinese payment-terminal company searched by FBI
310,Laos,Laos makes Southeast Asia's largest ever drug bust
311,0,"Human activity and wildfires turn forests into net sources of carbon, study suggests"
312,Covid,Covid passes set to stay as Europe heads for winter
313,Koeman,Koeman sacked as Barcelona head coach
314,Julian Assange,Why is Julian Assange still facing extradition to the US?
315,"£ 495,000 hoverbike in Japan","Start-up launches £495,000 hoverbike in Japan"
316,Tech giants,Tech giants try distancing themselves from Facebook
317,Pope Francis,Pope Francis to visit Canada for indigenous reconciliation
318,Cambridge University college hands,Cambridge University college hands back looted cockerel to Nigeria
319,0,All you need to know about the Beijing Winter Olympics with 100 days to go
320,Japan 's Princess Mako,Japan's Princess Mako: The woman who gave up royal status to marry
321,0,Colombian drug lord Otoniel to be extradited to US after capture
322,0,Four things you can do to reduce your carbon footprint
323,The US,"The US begins its appeal in order to extradite the WikiLeaks founder Julian Assange

How did it get here? ⬇️"
324,Pfizer jab for children over five,US officials back Pfizer jab for children over five
325,Julian Assange 's case,Why is Julian Assange's case back in court?
326,the army,Sudan coup: Why the army is gambling with the future
327,The surrender of India 's bandit king,Malkhan Singh: The surrender of India's bandit king
328,0,"10 questions, 10 seconds to answer them 

Take our news quiz - it’s a race against the clock"
329,0,"Whose trainers went for $1.5m at auction?
 
Take our news quiz - it’s a race against the clock"
330,Novara Media,Novara Media has YouTube channel briefly deleted
331,0,Why women may wait decades for an ADHD diagnosis
332,your sex life,Can your sex life be eco-friendly?
333,0,Cyber-attack hits UK internet phone providers
334,Crimean gold,"Crimean gold must return to Ukraine, Dutch court rules"
335,0,Irish nightclubs must be pre-booked an hour before entry
336,it,Eco-friendly sex: What is it and how does it impact on climate change?
337,Tesla,Tesla briefly hits a $1 trillion valuation
338,I,'Why I returned to Boko Haram and how I escaped'
339,Mayan artefact,Collector returns Mayan artefact to Guatemala
340,0,What are the rules for guns on movie sets?
341,recycling and rubbish from the UK,Where does recycling and rubbish from the UK go?
342,Tesla,Tesla withdraws self-driving beta over software issues
343,Facebook whistleblower Frances Haugen,Facebook whistleblower Frances Haugen faces UK Parliament
344,0,Sudan's reported coup: What you need to know
345,0,Permit extension for Jersey hospitality workers
346,0,Climate change quiz: Test your knowledge of how to reduce emissions
347,China president Xi Jinping,China president Xi Jinping marks 50th anniversary at UN
348,Molly Russell 's father,Molly Russell's father meets Facebook whistleblower Frances Haugen
349,Canada 's,16 people evacuated from a burning container ship off Canada's Pacific coast
350,0,Climate change: How do we know it is happening and caused by humans?
351,Michael Jordan 's trainers,Michael Jordan's trainers sell for record $1.47m at auction
352,art in Indonesia,Finding the world's oldest animal cave art in Indonesia
353,oldest animal art,Inside the Indonesian cave where oldest animal art was found
354,India 's,The bumpy road to India's electric car revolution
355,the world 's,Living with the world's oldest mummies
356,0,Colombian drug lord Otoniel to be extradited to US
357,I,‘I left university and adopted my brother and sister’
358,0,What's next after the release of Meng Wanzhou?
359,Rollercoaster superfan,"Rollercoaster superfan takes 6,000th ride after pandemic delays"
360,Kenyan churches,Why Kenyan churches are banning politicians from pulpits
361,0,Saving a million salmon and a tribe in a historic drought
362,0,Released audio depicts Rust set after shooting
363,Spanish scientists,Spanish scientists have been working through the night to collect lava samples from the Cumbre Vieja volcano in La Palma
364,Apple,Will Apple be the last US tech giant left in China?
365,target London 's cyclists,Moped gangs with machetes target London's cyclists
366,EU leaders,EU leaders give Angela Merkel an ovation at final summit
367,Australia,Climate change: Why Australia refuses to give up coal
368,The world in 2031,Tech Tent: The world in 2031
369,questions Bollywood actress Ananya Panday,India's anti-drugs agency questions Bollywood actress Ananya Panday
370,Quiz of the week,Quiz of the week: How did Sex Education influence baby names?
371,Australia,Australia to start travel bubble with Singapore
372,Australia flags,Australia flags travel bubble with Singapore
373,One of world 's last northern white rhinos,One of world's last northern white rhinos retired from breeding scheme
374,Crime - hit Chicago,Crime-hit Chicago grapples with police vaccine revolt
375,Africa 's week in pictures,Africa's week in pictures: 15-21 October 2021
376,0,Russian news agency deletes editorial claiming victory in Ukraine
377,Russia,Russia bans airlines from 36 countries from using its airspace in tit-for-tat response to Western sanctions
378,Ukrainian sailor in Majorca,Ukrainian sailor in Majorca tried to sink yacht of Russian boss
379,The chefs using TikTok to,The chefs using TikTok to reinvent their careers
380,Putin,Ukraine invasion: Would Putin press the nuclear button?
381,Ericsson workers,Ericsson workers kidnapped after being sent to negotiate with IS
382,your,Send your questions about the Russian invasion of Ukraine to Your Questions Answered 🗣
383,Ukraine,Ukraine: What questions do you have about Russia's invasion?
384,the West arm a Ukrainian resistance,Should the West arm a Ukrainian resistance?
385,Ireland,Ukraine invasion: Ireland closes airspace to Russian planes
386,Priya Aggarwal,Priya Aggarwal: The Indian bride on horseback who smashed taboos
387,Thousands in Ukraine,Thousands in Ukraine try to force their way onto trains to Poland to flee the Russian invasion
388,Millions in Bitcoin,Millions in Bitcoin pouring into Ukraine from donors
389,Russia 's invasion,A visual guide tracking Russia's invasion of Ukraine
390,the BBC coverage,Stay up to date with all of the BBC coverage of the Russian invasion of Ukraine here
391,the UK sanctions list,Who is not on the UK sanctions list following the Russian invasion of Ukraine?
392,Kyiv residents,Kyiv residents answer call to defend Ukraine
393,the key moments,Watch the key moments from day two of Russia’s invasion of Ukraine
394,US conservatives,"US conservatives talk Ukraine, Putin and Biden"
395,we,Five things we still need to keep an eye on with Covid
396,Refugees from Ukraine arriving at Polish border,Refugees from Ukraine arriving at Polish border speak to BBC
397,Day two of Russia 's invasion of Ukraine,Eyes on Kyiv: Day two of Russia's invasion of Ukraine
398,Ukraine,Ukraine: Where does it go from here?
399,President Zelensky,President Zelensky vows to defend Ukraine's independence
400,0,DNA evidence spares 500lb burglar bear 'Hank the Tank'
401,"Filter out ' unverified ' accounts , tech giants","Filter out 'unverified' accounts, tech giants told"
402,0,Gunshots heard at Kyiv train station as crowds flee
403,Radiation spike at Chernobyl nuclear plant,Radiation spike at Chernobyl nuclear plant seized by Russian forces
404,0,Ukraine: 'We are a shield for you - Europe and the world'
405,0,Oscar-nominated M*A*S*H actress Sally Kellerman dies at 84
406,India,How India is emerging as a chess powerhouse
407,Russia,Russia bans British airlines from its airspace
408,0,Videos show Russian tanks rolling through Kyiv district in Ukraine
409,Biden,Why Biden won't send troops to Ukraine?
410,Africa 's week in pictures,Africa's week in pictures: 18-24 February 2022
411,Ukraine,Ros Atkins on... how Ukraine became the front line between the West and Russia
412,Diplomat 's daughter,Diplomat's daughter beheaded for spurning proposal in Pakistan
413,0,Russian public divided over invasion of Ukraine
414,Russia 's invasion of Ukraine,How Russia's invasion of Ukraine started
415,Russian forces,Russian forces seize Chernobyl nuclear power plant
